,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Ubash3b,0.9644,0.035599999999999965,3.2991602379193363,0.00013707258,1.8443443e-05,0.0,0.25,3.05761,3.1882424,2.370173,-5.386855,10.806904,0.66482013,0.28997496,0.29639889196675867,0.1534229828850812,0.9380489,0.18533249,True,3 vs Rest,3,Rest
Gpr139,0.9626,0.03739999999999999,3.2479669954574106,4.7100166e-05,8.62576e-06,0.0,0.25,3.055626,3.052258,2.4530582,-4.9448366,15.701799,0.16620493,0.023655226,0.11080332409972303,0.015036674816625843,0.19789875,0.018224658,True,3 vs Rest,3,Rest
Klhl13,0.9652,0.03480000000000005,3.322717669974713,3.7178146e-05,7.729854e-06,0.0,0.25,3.018282,3.1216683,2.5287244,-5.6537914,11.29001,0.20498607,0.1191318,0.14127423822714685,0.07267726161369266,0.24961779,0.07522,True,3 vs Rest,3,Rest
Slitrk4,0.9632,0.036800000000000055,3.264762968022636,6.35081e-05,1.117619e-05,0.0,0.25,2.9891524,2.9833622,2.232268,-5.9246464,11.403573,0.29639885,0.036430273,0.17451523545706377,0.021149144254278614,0.3893156,0.03045671,True,3 vs Rest,3,Rest
Tbc1d12,0.9632,0.036800000000000055,3.264762968022636,3.774277e-05,7.464903e-06,0.0,0.25,2.9862568,3.0615244,2.2596874,-5.6551714,11.174876,0.21052623,0.14034203,0.15235457063711916,0.11130806845965598,0.29368585,0.09645092,True,3 vs Rest,3,Rest
Oas1g,0.9692,0.03080000000000005,3.4489559846053557,6.0893602e-05,8.683134e-06,0.0,0.25,2.9821472,2.975206,1.9803661,-3.7147474,10.603345,0.19113566,0.08178468,0.14958448753462608,0.07090464547677346,0.2752971,0.061013415,True,3 vs Rest,3,Rest
Ch25h,0.9634,0.036599999999999966,3.270420190944699,4.8251455e-05,1.2853066e-05,0.0,0.25,2.9795408,3.232254,2.769245,-7.152836,14.364204,0.41828266,0.15177234,0.2299168975069253,0.06619804400978109,0.48133144,0.115478344,True,3 vs Rest,3,Rest
Zfp408,0.9672,0.03280000000000005,3.3839764893716042,1.5255131e-05,3.1368245e-06,0.0,0.25,2.96017,3.0776305,2.342991,-6.6783056,11.731118,0.10803319,0.14382611,0.10803324099722995,0.11888753056234498,0.14916107,0.089528054,True,3 vs Rest,3,Rest
Pcgf2,0.9672,0.03280000000000005,3.3839764893716042,3.1905354e-05,6.168993e-06,0.0,0.25,2.9572399,2.9758987,1.9004728,-3.9443521,10.191618,0.1828254,0.19040309,0.15235457063711916,0.1275061124694349,0.22018221,0.1210136,True,3 vs Rest,3,Rest
Prrg1,0.9664,0.03359999999999996,3.359051472940072,8.049184e-05,1.3897495e-05,0.0,0.25,2.9498184,3.0884285,2.333569,-5.954994,10.362977,0.31578952,0.1305621,0.20221606648199453,0.08679706601466976,0.41062707,0.083315335,True,3 vs Rest,3,Rest
Ccdc138,0.9668,0.03320000000000001,3.371441482045512,9.228222e-05,1.2853947e-05,0.0,0.25,2.946217,2.9645605,1.6997372,-3.0263138,10.839845,0.29362884,0.30183315,0.20221606648199453,0.18704156479216952,0.39524642,0.18157083,True,3 vs Rest,3,Rest
Mab21l3,0.9588,0.041200000000000014,3.1472440139160347,3.0903888e-05,6.2300487e-06,0.0,0.25,2.9440608,2.9709215,2.4884431,-5.6969347,13.223624,0.15789469,0.07194363,0.11634349030470918,0.053239608801956904,0.20028141,0.047819987,True,3 vs Rest,3,Rest
Klhl15,0.961,0.039000000000000035,3.204412516836249,4.723257e-05,7.811804e-06,0.0,0.25,2.9439373,2.9639173,2.227212,-5.3072004,10.74828,0.18005534,0.14138114,0.146814404432133,0.11234718826405689,0.22616312,0.08934733,True,3 vs Rest,3,Rest
Hip1,0.9656,0.034399999999999986,3.3346928250625925,5.2456326e-05,7.271712e-06,0.0,0.25,2.9400303,3.068294,2.0625727,-5.157975,8.859932,0.29085875,0.053239528,0.18005540166204992,0.03312958435207815,0.40133607,0.038580187,True,3 vs Rest,3,Rest
Thbs3,0.9564,0.04359999999999997,3.088118866327286,3.2746175e-05,7.0290916e-06,0.0,0.25,2.9210188,2.6183796,2.5664635,-4.896494,14.298795,0.16066474,0.13141783,0.12465373961218841,0.10635696821515751,0.20477912,0.07984286,True,3 vs Rest,3,Rest
2700097O09Rik,0.9548,0.04520000000000002,3.0504045968609734,1.721934e-05,3.4152586e-06,0.0,0.25,2.9124665,2.8696404,2.3108215,-7.7252607,12.629676,0.1246537,0.19724898,0.1024930747922438,0.15959657701711014,0.16506472,0.12280763,True,3 vs Rest,3,Rest
Notch3,0.9612,0.038799999999999946,3.209762009904824,6.051498e-05,1.0143336e-05,0.0,0.25,2.9068313,2.9980874,2.4917047,-6.543126,11.599364,0.17174508,0.13068435,0.12465373961218841,0.08471882640586793,0.2410645,0.08766871,True,3 vs Rest,3,Rest
Carmn,0.9706,0.02939999999999998,3.4969194327933892,0.00010821651,1.5826257e-05,0.0,0.25,2.9035954,2.9040303,1.7936289,-3.44201,9.293711,0.44875363,0.21246901,0.257617728531856,0.1347799511002413,0.59500915,0.14026767,True,3 vs Rest,3,Rest
