"","cytoGenes"
"1700027F09Rik",0.0198742220399338
"1700027J07Rik",0.00459942079600453
"1700028D13Rik",-0.0553238196397318
"1700028J19Rik",0.0298453700257656
"1700028K03Rik",0.0110918726754018
"1700028P14Rik",0.0491206285924249
"1700029F12Rik",0.0494839473159921
"1700029H14Rik",0.014318965209082
"1700029I15Rik",0.00767543296501211
"1700029J03Rik",0.0159398130838104
"1700029J07Rik",0.0249441585491945
"1700029N11Rik",0.0578624308542665
"1700029P11Rik",-0.00101305024057805
"1700030A11Rik",0.00444902808940559
"1700030C14Rik",-0.0365625632620782
"1700030J22Rik",0.0885880716045273
"1700030K09Rik",0.0234388371376505
"1700030O20Rik",-0.00633676645388709
"1700031P21Rik",0.00704080224827266
"1700034H15Rik",-0.0197452078259631
"1700034I23Rik",-0.0133017935945281
"1700034J05Rik",-0.0306778591754982
"1700034K08Rik",0.0255644410687117
"1700034P13Rik",0.103316342800901
"1700036A12Rik",0.0391632511079274
"1700037C18Rik",0.0651981234319154
"1700037F03Rik",0.0225290885510099
"1700037H04Rik",0.0534066966722417
"1700039M15Rik",-0.0284324476016654
"1700040D17Rik",0.00683194488464647
"1700040F17Rik",-0.00381478996364937
"1700040L08Rik",0.0266789336175376
"1700041C23Rik",0.00931080112259398
"1700041G16Rik",0.0260499222219527
"1700041M19Rik",0.00714104077910603
"1700042D02Rik",0.00164770389059859
"1700042G07Rik",0.0169275607110027
"1700042O10Rik",0.0198692353626662
"1700045H11Rik",0.00512391108458808
"1700047I17Rik2",-0.00356762092961673
"1700048O20Rik",0.0269890444740994
"1700049E15Rik",0.0080629036880312
"1700052H01Rik",0.027313958231697
"1700052I22Rik",-0.00493296231839281
"1700052K11Rik",0.0226361034069453
"1700054A03Rik",0.00569972754026338
"1700054M17Rik",0.0154970308611399
"1700055D18Rik",0.0475736146572536
"1700056E22Rik",0.0741863193156984
"1700056N10Rik",-0.0239685816791141
"1700057G04Rik",0.00420082750086506
"1700057H15Rik",0.0104552749106087
"1700058P15Rik",0.0139036210623055
"1700061G19Rik",0.0324455783813037
"1700061I17Rik",0.00743988698048059
"1700062C10Rik",0.0273390037608117
"1700063D05Rik",0.052945480680657
"1700063H04Rik",0.0281858331821885
"1700064H15Rik",0.0656961701090109
"1700064M15Rik",-0.0188011681754021
"1700065D16Rik",0.0905316364517372
"1700066B17Rik",0.0677672391261381
"1700066B19Rik",0.000186833004484733
"1700066M21Rik",0.0292006311420112
"1700067G17Rik",0.0376431875562344
"1700067K01Rik",-0.0138901428060224
"1700069B07Rik",-0.0176427625433439
"1700069L16Rik",0.0287071994348977
"1700072G22Rik",-0.0166205959535643
"1700074H08Rik",0.000979448729795027
"1700080G11Rik",-0.0170588018796517
"1700080N15Rik",0.0296809057816601
"1700080O16Rik",0.00822263527977704
"1700081H04Rik",0.0218162331184408
"1700082M22Rik",0.0195236664152784
"1700084C06Rik",0.027075742835118
"1700084E18Rik",0.0127894445446812
"1700084F23Rik",0.0119693905664447
"1700086D15Rik",0.0416212545124194
"1700086O06Rik",0.0674067116976756
"1700086P04Rik",0.0549659066892731
"1700088E04Rik",0.0761498756148658
"1700092C10Rik",0.104431729718829
"1700092E19Rik",0.0278541620497926
"1700092M07Rik",-0.00114949058349576
"1700093K21Rik",0.0398257052867081
"1700094J05Rik",-0.0213158024617857
"1700095J03Rik",-0.0187140288600128
"1700095J07Rik",0.0259820630647709
"1700095J12Rik",0.00524537939956926
"1700096K18Rik",0.063480290357305
