,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Slc22a21,0.9328,0.06720000000000004,2.6305174299780223,4.0871364e-05,8.262857e-06,0.0,0.25,1.8703357,1.7936296,2.508025,-6.418874,11.177808,0.08587256,0.032602254,0.06371191135734074,0.030823947836396,0.11198167,0.02778021,False,3 vs Rest,3,Rest
Pvt1,0.9378,0.06220000000000003,2.713181556801915,5.035907e-05,1.2371985e-05,0.0,0.25,1.8621949,1.8862104,2.3400033,-7.5684395,9.840116,0.16620497,0.12863071,0.07479224376731304,0.08061647895672777,0.19445527,0.097428024,True,3 vs Rest,3,Rest
Pola2,0.9372,0.06279999999999997,2.702941484593913,4.5805864e-05,1.1385639e-05,0.0,0.25,1.8553904,1.812087,1.6864291,-5.156127,8.8774805,0.08310247,0.08713693,0.06648199445983381,0.08239478363959676,0.09640804,0.076120056,True,3 vs Rest,3,Rest
Trpm6,0.9458,0.054200000000000026,2.859350047835406,3.440246e-05,9.336618e-06,0.0,0.25,1.8456805,1.8554659,3.1252897,-9.089759,12.632818,0.119113535,0.05986959,0.08310249307479227,0.045050385299347934,0.17269264,0.054210845,True,3 vs Rest,3,Rest
E4f1,0.9376,0.06240000000000001,2.7097579938564973,6.7672714e-05,1.5120803e-05,0.0,0.25,1.8435315,1.8416033,1.8415036,-5.3900824,10.289891,0.17728524,0.12981625,0.14404432132963993,0.11499703615886162,0.23813292,0.11735647,True,3 vs Rest,3,Rest
Nebl,0.9364,0.06359999999999999,2.689429118717184,5.809312e-05,1.576035e-05,0.0,0.25,1.8289015,1.8511081,2.3734128,-5.249321,10.446499,0.1412742,0.08832247,0.09418282548476457,0.06520450503852984,0.19524808,0.074454434,True,3 vs Rest,3,Rest
Ikzf1,0.9394,0.06059999999999999,2.740946326146231,9.530277e-05,2.6114527e-05,0.0,0.25,1.8259217,1.8172317,1.4579057,-3.425065,8.456384,0.24376723,0.19205691,0.13019390581717455,0.13218731475992854,0.28127876,0.14615718,True,3 vs Rest,3,Rest
1700001K19Rik,0.9536,0.0464,3.0229446320482345,7.385849e-05,2.2488186e-05,0.0,0.25,1.8252053,1.768609,3.7883666,-9.057599,12.976351,0.2770083,0.13692947,0.11080332409972303,0.08358032009484276,0.37219888,0.13760264,True,3 vs Rest,3,Rest
Top2a,0.9288,0.07120000000000004,2.568400482282903,9.5986295e-05,1.4484146e-05,0.0,0.25,1.8234422,1.7113132,2.2437649,-6.8526125,10.791586,0.66204995,0.11084766,0.10526315789473688,0.07883817427385878,0.5751731,0.08261209,False,3 vs Rest,3,Rest
Fbxl18,0.9304,0.0696,2.5928499009339956,8.850714e-05,2.2389884e-05,0.0,0.25,1.8170676,1.8597817,1.8455919,-4.813402,7.325494,0.5013852,0.22169532,0.23545706371191144,0.17368109069353835,0.62562037,0.20469347,False,3 vs Rest,3,Rest
