x,Neuroepithelium-a,Interneuron,Neuroepithelium-b,RGC-a,immature_neuron,Layer I,Pia,RGC-b,IPC-a,Endothelial cell,IPC-b (mitotic),Microglia,Layer V-VI-a,RGC-c,Layer-V-VI-b,Layer II-IV,Pericyte,Hippocampus,OPC
Adcy5,0.0051404107,0.037744697,0.007906825,0.0014531633,0.014500871,0.040236175,0.029824391,0.005680692,0.0060260696,0.0,0.005589055,0.0,0.019972669,0.0019205688,0.06748324,0.049253423,0.0,0.07304627,0.00917548
Adcy6,0.027888509,0.022719234,0.037618633,0.032464072,0.030023351,0.08064419,0.097107396,0.02350328,0.02378952,0.085265905,0.015076921,0.0,0.037676886,0.02363019,0.04427536,0.060335472,0.3595093,0.055717766,0.064837836
Adcy7,0.0,0.003996708,0.0,0.006261804,0.001991253,0.00602026,0.00413559,0.0020846133,0.0016879552,0.0,0.0030579993,0.14188077,0.0013898278,0.0015032643,0.0,0.0041870303,0.0,0.0,0.0055115223
Adcy9,0.0024052376,0.0051094936,0.00680582,0.0012123312,0.0045814477,0.0,0.004785767,0.0,0.006764656,0.010549946,0.0030551958,0.0,0.0073673315,0.0,0.004488405,0.012454044,0.0,0.019744847,0.008433507
Adcyap1,0.0060871365,0.0049909246,0.0,0.002947419,0.034142815,0.022542797,0.0,0.0077532665,0.020334225,0.0,0.017985234,0.0,0.051363118,0.006617094,0.024177244,0.033651277,0.0,0.0497692,0.0
Adcyap1r1,0.0081943115,0.03885801,0.03109707,0.052307587,0.08510575,0.0,0.012244755,0.01466682,0.109599136,0.0,0.06054129,0.0,0.0807032,0.05230471,0.08784375,0.09827363,0.0,0.072325416,0.15467349
Add1,0.2798397,0.3252189,0.55524814,0.2720009,0.33530006,0.4106605,0.5666043,0.26749808,0.27723953,0.25699988,0.24252373,0.618903,0.48058516,0.36029616,0.48430553,0.41225728,0.31869036,0.5826759,0.4394803
Add2,0.10429569,0.3257062,0.016867056,0.05394092,0.23979358,0.2101289,0.0026679197,0.04022758,0.11274464,0.0,0.12157926,0.04794424,0.38543275,0.041017607,0.5405154,0.5456346,0.0,0.5323681,0.033573713
Add3,0.32013685,0.0229439,0.41378078,0.25224963,0.032695267,0.2738648,0.47021163,0.35844016,0.06855976,0.8684003,0.15069337,0.1817579,0.031544793,0.51154226,0.067689896,0.054252036,0.63102114,0.021643763,0.38474247
Adh5,0.8659372,0.5515988,0.8181363,0.68138933,0.7139277,0.6190763,0.79884285,0.71574706,0.62862176,0.5326615,0.62401205,0.47589245,0.8235718,0.77271175,0.8149263,0.6758986,0.4100774,0.80921066,0.71165746
