,table
sec14l2,s1
sf3a1,s1
sun3,s1
spata48,s1
sec61g,s1
spred2,s1
slc1a4,s1
sertad2,s1
sptbn1,s1
stc2,s1
snrnp25,s1
sh3pxd2b,s1
stk10,s1
spdl1,s1
slit3,s1
slu7,s1
sox30,s1
sgcd,s1
scgb3a1,s1
sqstm1,s1
sec24a,s1
sar1b,s1
skp1a,s1
shroom1,s1
sowaha,s1
sept8,s1
slc22a5,s1
slc22a21,s1
slc22a4,s1
slc36a3,s1
slc36a3os,s1
slc36a2,s1
slc36a1os,s1
slc36a1,s1
sparc,s1
sap30l,s1
sh3bp5l,s1
snap47,s1
srebf1,s1
smcr8,s1
shmt1,s1
slc47a2,s1
slc47a1,s1
slc5a10,s1
specc1,s1
shisa6,s1
sco1,s1
stx8,s1
slc25a35,s1
shbg,s1
sat2,s1
sox15,s1
senp3,s1
slc35g3,s1
spem1,s1
slc2a4,s1
slc16a11,s1
slc16a13,s1
slc25a11,s1
spag7,s1
scimp,s1
slc13a5,s1
smtnl2,s1
spns2,s1
spns3,s1
shpk,s1
spata22,s1
sgsm2,s1
srr,s1
smg6,s1
smyd4,s1
serpinf1,s1
serpinf2,s1
scarf1,s1
slc43a2,s1
slc6a4,s1
ssh2,s1
sez6,s1
supt6,s1
sdf2,s1
spag5,s1
slc13a2os,s1
slc13a2,s1
slc46a1,s1
sarm1,s1
sebox,s1
suz12,s1
slfn5os,s1
slfn5,s1
slfn9,s1
slfn8,s1
slfn2,s1
slfn1,s1
slfn4,s1
slfn3,s1
slfn14,s1
synrg,s1
smg8,s1
ska2,s1
sept4,s1
supt4a,s1
srsf1,s1
scpep1os,s1
scpep1,s1
stxbp4,s1
spag9,s1
spata20,s1
sgca,s1
samd14,s1
slc35b1,s1
spop,s1
snf8,s1
skap1,s1
snx11,s1
sp2,s1
sp6,s1
scrn2,s1
socs7,s1
srcin1,s1
stac2,s1
stard3,s1
smarce1,s1
stat5b,s1
stat5a,s1
stat3,s1
sost,s1
slc4a1,s1
slc25a39,s1
spata32,s1
strada,s1
smarcd2,s1
scn4a,s1
smurf2,s1
slc16a6,s1
sox9,s1
slc39a11,s1
sstr2,s1
sdk2,s1
slc9a3r1,s1
slc16a5,s1
sumo2,s1
slc25a19,s1
smim5,s1
smim6,s1
sap30bp,s1
sap30bpos,s1
srp68,s1
sphk1,s1
st6galnac2,s1
st6galnac2-1,s1
st6galnac1,s1
srsf2,s1
snhg20,s1
sec14l1,s1
sept9,s1
syngr2,s1
socs3,s1
sgsh,s1
slc26a11,s1
slc38a10,s1
slc25a10,s1
sirt7,s1
slc16a3,s1
sectm1b,s1
sectm1a,s1
sugct,s1
stard3nl,s1
sfrp4,s1
slc17a3,s1
slc17a4,s1
sox4,s1
serpinb1a,s1
serpinb1c,s1
serpinb6b,s1
serpinb9,s1
serpinb9b,s1
serpinb1b,s1
serpinb9c,s1
serpinb9d,s1
serpinb6d,s1
serpinb6e,s1
serpinb6c,s1
serpinb6a,s1
slc22a23,s1
ssr1,s1
snrnp48,s1
slc35b3,s1
sycp2l,s1
smim13,s1
sirt5,s1
stmnd1,s1
susd3,s1
spin1,s1
s1pr3,s1
shc3,s1
secisbp2,s1
sema4d,s1
syk,s1
sptlc1,s1
sfxn1,s1
simc1,s1
sncb,s1
slc34a1,s1
slc25a48,s1
smad5,s1
spock1,s1
slc28a3,s1
spata31d1a,s1
spata31d1b,s1
spata31d1d,s1
slc35d2,s1
spata31d1c,s1
srd5a1,s1
slc6a3,s1
slc6a19,s1
slc12a7,s1
slc9a3,s1
sdha,s1
spata9,s1
slf1,s1
ssbp2,s1
spz1,s1
serinc5,s1
scamp1,s1
s100z,s1
sv2c,s1
serf1,s1
smn1,s1
slc30a5,s1
srek1,s1
sgtb,s1
srek1ip1,s1
smim15,s1
slc38a9,s1
skiv2l2,s1
snx18,s1
sf3b6,s1
sdc1,s1
smc6,s1
sox11,s1
sntg2,s1
sh3yl1,s1
slc26a3,s1
slc26a4,s1
sypl,s1
snx13,s1
sostdc1,s1
scin,s1
stxbp6,s1
scfd1,s1
strn3,s1
sptssa,s1
snx6,s1
srp54a,s1
srp54b,s1
srp54c,s1
slc25a21,s1
sstr1,s1
sec23a,s1
sos2,s1
sav1,s1
six1,s1
six4,s1
slc38a6,s1
snapc1,s1
syt16,s1
sgpp1,s1
syne2,s1
sptb,s1
slc39a9,s1
susd6,s1
srsf5,s1
slc10a1,s1
smoc1,s1
slc8a3,s1
synj2bp,s1
sipa1l1,s1
syndig1l,s1
samd15,s1
sptlc2,s1
slirp,s1
snw1,s1
ston2,s1
sel1l,s1
spata7,s1
slc24a4,s1
serpina10,s1
serpina1b,s1
serpina1d,s1
serpina1a,s1
serpina1c,s1
serpina1e,s1
serpina11,s1
serpina9,s1
serpina12,s1
serpina5,s1
serpina3b,s1
serpina3c,s1
serpina3f,s1
serpina3g,s1
serpina3i,s1
serpina3j,s1
serpina3m,s1
serpina3n,s1
syne3,s1
snhg10,s1
setd3,s1
slc25a29,s1
slc25a47,s1
siva1,s1
sp4,s1
sp8,s1
selenop,s1
slc1a3,s1
skp2,s1
spef2,s1
slc45a2,s1
sub1,s1
snhg18,s1
sema5a,s1
sdc2,s1
stk3,s1
spag1,s1
snx31,s1
slc25a32,s1
sybu,s1
samd12,s1
sntb1,s1
slc22a22,s1
sqle,s1
sla,s1
st3gal1,s1
slc45a4,s1
slurp1,s1
slurp2,s1
scrib,s1
spatc1,s1
smpd5,s1
sharpin,s1
scx,s1
scrt1,s1
slc52a2,s1
slc39a4,s1
sstr3,s1
sh3bp1,s1
sox10,s1
slc16a8,s1
sun2,s1
syngr1,s1
sgsm3,s1
slc25a17,s1
st13,s1
snu13,s1
srebf2,s1
shisa8,s1
sept3,s1
smdt1,s1
serhl,s1
scube1,s1
sult4a1,s1
samm50,s1
smc1b,s1
selenoo,s1
sbf1,s1
sco2,s1
syce3,s1
shank3,s1
slc2a13,s1
smgc,s1
scaf11,s1
slc38a1,s1
slc38a2,s1
slc38a4,s1
slc48a1,s1
senp1,s1
spats2,s1
smarcd1,s1
slc11a2,s1
smagp,s1
slc4a8,s1
scn8a,s1
spryd3,s1
soat2,s1
sp7,s1
sp1,s1
smug1,s1
slx4,s1
srl,s1
sept12,s1
smim22,s1
sec14l5,s1
socs1,s1
snn,s1
snx29,s1
shisa9,s1
snai2,s1
spidr,s1
spag6l,s1
sdf2l1,s1
serpind1,s1
snap29,s1
slc7a4,s1
smpd4,s1
scarf2,s1
slc25a1,s1
sept5,s1
senp2,s1
st6gal1,s1
sst,s1
senp5,s1
smco1,s1
slc51a,s1
smbd1,s1
snx4,s1
slc12a8,s1
sec22a,s1
sema5b,s1
stfa2l1,s1
stfa1,s1
stfa2,s1
stfa3,s1
slc15a2,s1
stxbp5l,s1
sidt1,s1
spice1,s1
slc35a5,s1
slc9c1,s1
senp7,s1
st3gal6,s1
stx19,s1
speer2,s1
samsn1,s1
sod1,s1
scaf4,s1
synj1,s1
son,s1
slc5a3,s1
smim11,s1
setd4,s1
sim2,s1
sh3bgr,s1
scaf8,s1
snx9,s1
synj2,s1
serac1,s1
sytl3,s1
sft2d1,s1
slc22a3,s1
slc22a2,s1
slc22a1,s1
sod2,s1
smoc2,s1
spaca6,s1
srrm2,s1
sbp,s1
sbpl,s1
slc9a3r2,s1
syngr3,s1
snhg9,s1
spsb3,s1
sstr5,s1
sox8,s1
stub1,s1
syngap1,s1
spdef,s1
snrpc,s1
scube3,s1
srpk1,s1
slc26a8,s1
stk38,s1
srsf3,s1
slc37a1,s1
sik1,s1
slc39a7,s1
stk19,s1
skiv2l,s1
slc44a4,s1
sapcd1,s1
slc25a27,s1
supt3,s1
spats1,s1
slc35b2,s1
slc29a1,s1
slc22a7,s1
srf,s1
satb1,s1
sgo1,s1
sult1c2,s1
sult1c1,s1
slc5a7,s1
st6gal2,s1
shd,s1
stap2,s1
sh3gl1,s1
sema6b,s1
safb2,s1
safb,s1
slc25a41,s1
slc25a23,s1
smchd1,s1
spdya,s1
spast,s1
slc30a6,s1
strn,s1
sult6b1,s1
srsf7,s1
sos1,s1
slc8a1,s1
slc3a1,s1
six3,s1
six2,s1
srbd1,s1
socs5,s1
stpg4,s1
ston1,s1
sry,s1
svil,s1
snrpd1,s1
ss18,s1
slc39a6,s1
syt4,s1
slc25a46,s1
sap130,s1
sft2d3,s1
stard4,s1
srp19,s1
sil1,s1
slc23a1,s1
spata24,s1
slc4a9,s1
sra1,s1
slc35a4,s1
slc25a2,s1
spry4,s1
sh3rf2,s1
stk32a,s1
spink1,s1
scgb3a2,s1
spink5,s1
spink12,s1
spinkl,s1
spink11,s1
sema6a,s1
srfbp1,s1
sncaip,s1
snx2,s1
snx24,s1
slc12a2,s1
slc27a6,s1
smim3,s1
synpo,s1
slc6a7,s1
slc26a2,s1
sh3tc2,s1
spink10,s1
spink13,s1
st8sia3os,s1
st8sia3,s1
sec11c,s1
spire1,s1
seh1l,s1
stard6,s1
smad4,s1
ska1,s1
smad7,s1
smad2,s1
skor2,s1
siglec15,s1
slc14a1,s1
slc14a2,s1
setbp1,s1
sall3,s1
socs6,s1
ssh3,s1
syt12,s1
sptbn2,s1
slc29a2,s1
sf3b2,s1
sart1,s1
snx32,s1
sipa1,s1
sssca1,s1
scyl1,s1
slc25a45,s1
slc22a20,s1
syvn1,s1
sac3d1,s1
snx15,s1
sf1,s1
slc22a12,s1
stip1,s1
spindoc,s1
slc22a27,s1
slc22a28,s1
slc22a29,s1
slc22a30,s1
slc22a8,s1
slc3a2,s1
stx5a,s1
scgb1a1,s1
syt7,s1
sdhaf2,s1
slc15a3,s1
stx3,s1
smc5,s1
smarca2,s1
slc1a1,s1
sgms1,s1
stambpl1,s1
slc16a12,s1
slc35g1,s1
sorbs1,s1
slit1,s1
sfrp5,s1
slc25a28,s1
scd3,s1
scd2,s1
scd4,s1
scd1,s1
sec31b,s1
slf2,s1
sema4g,s1
sfxn3,s1
sufu,s1
sfxn2,s1
sh3pxd2a,s1
stn1,s1
slk,s1
sfr1,s1
sorcs3,s1
sorcs1,s1
smndc1,s1
smc3,s1
shoc2,s1
shtn1,s1
slc18a2,s1
sfxn4,s1
spry3,s1
lypla1,l
lactb2,l
ly96,l
lmbrd1,l
lman2l,l
lipt1,l
lonrf2,l
lancl1,l
lrrfip1,l
lypd1,l
lct,l
lemd1,l
lrrn2,l
lax1,l
lgr6,l
lmod1,l
lad1,l
lhx9,l
lamc2,l
lamc1,l
lhx4,l
lrrc52,l
lmx1a,l
ly9,l
lin9,l
lefty2,l
lefty1,l
lbr,l
lyplal1,l
lpgat1,l
lamb3,l
lrrc26,l
lcn12,l
lcn8,l
lcn6,l
lcn10,l
lcn11,l
lcn9,l
lhx3,l
lcn4,l
lrrc8a,l
lamc3,l
lcn2,l
lrsam1,l
lmx1b,l
lhx6,l
lhx2,l
lrp1b,l
lypd6b,l
lypd6,l
ly75,l
lrp2,l
lnpk,l
lrrc55,l
lrp4,l
large2,l
lrrc4c,l
ldlrad3,l
lmo2,l
lin7c,l
lgr4,l
lpcat4,l
ltk,l
lrrc57,l
lcmt2,l
lzts3,l
lrrn4,l
lamp5,l
lbp,l
lpin3,l
l3mbtl1,l
lsm14b,l
lama5,l
lime1,l
lancl3,l
lonrf3,l
lamp2,l
ldoc1,l
l1cam,l
lage3,l
las1l,l
lpar4,l
lhfpl1,l
lrch2,l
lrrcc1,l
lrrc34,l
lrriq4,l
lrrc31,l
larp1b,l
lhfp,l
lekr1,l
lxn,l
lrat,l
lrba,l
lrrc71,l
lmna,l
lamtor2,l
lenep,l
lor,l
lce6a,l
lce1f,l
lce3a,l
lce3b,l
lce3e,l
lce3f,l
lingo4,l
lysmd1,l
lix1l,l
lrig2,l
lrif1,l
lamtor5,l
lrrc39,l
larp7,l
lrit3,l
lef1,l
lamtor3,l
lmo4,l
lpar3,l
lhx8,l
lrriq3,l
lrrc40,l
lrrc7,l
lyn,l
lrrc69,l
lyrm2,l
lingo2,l
lpar1,l
lurap1l,l
lrrc19,l
l1td1,l
leprot,l
lepr,l
ldlrad1,l
lrrc42,l
lrp8,l
lrp8os2,l
lrp8os1,l
lrrc41,l
lurap1,l
lao1,l
lsm10,l
lck,l
laptm5,l
lin28a,l
ldlrap1,l
lypla2,l
luzp1,l
lactbl1,l
ldlrad2,l
lrrc38,l
lzic,l
lrrc47,l
lrrd1,l
lrrc17,l
lhfpl3,l
lmbr1,l
letm1,l
lrpap1,l
lyar,l
ldb2,l
lap3,l
lcorl,l
lgi2,l
lias,l
limch1,l
lrrc66,l
lnx1,l
lin54,l
lrrc8b,l
lrrc8c,l
lrrc8d,l
lrrc8dos,l
lpcat2b,l
lrcol1,l
lhx5,l
lrrc43,l
lat2,l
limk1,l
lrwd1,l
lrch4,l
lamtor4,l
lfng,l
lmtk2,l
lnx2,l
lsm8,l
lmod2,l
lrrc4,l
lep,l
lncpint,l
lrguk,l
luc7l2,l
lrrc61,l
lsm5,l
lancl2,l
lrrtm1,l
lrrtm4,l
loxl3,l
lbx2,l
lsm3,l
lrig1,l
lmod3,l
lrrn1,l
lmcd1,l
lhfpl4,l
lrtm2,l
lpcat3,l
lrrc23,l
lag3,l
lpar5,l
ltbr,l
lrp6,l
lockd,l
lmo3,l
ldhb,l
lrmp,l
lmntd1,l
leng1,l
lilra6,l
lair1,l
leng8,l
leng9,l
lilra5,l
lig1,l
lypd5,l
lypd3,l
lipe,l
ltbp4,l
lrfn1,l
lgals4,l
lgals7,l
lrfn3,l
lin37,l
lsr,l
lgi4,l
lsm14a,l
lrp3,l
lim2,l
lrrc4b,l
lin7b,l
lhb,l
lmtk3,l
ldha,l
ldhc,l
luzp2,l
lrrk1,l
lins1,l
lysmd4,l
lrrc28,l
lrrc32,l
lipt2,l
lamtor1,l
lrrc51,l
lmo1,l
lyve1,l
lyrm1,l
lcmt1,l
lat,l
lhpp,l
lrrc27,l
lrrc56,l
lmntd2,l
lsp1,l
lrp11,l
lats1,l
ltv1,l
l3mbtl3,l
lama2,l
lama4,l
lin28b,l
lilr4b,l
lilrb4a,l
lims1,l
lrrc20,l
lrrtm3,l
lrrc75b,l
lss,l
lrrc3,l
lingo3,l
lsm7,l
lmnb2,l
lta4h,l
lum,l
lrriq1,l
lin7a,l
lgr5,l
lyz2,l
lyz1,l
llph,l
lemd3,l
lrig3,l
lrp1,l
lrrc8e,l
lig4,l
lamp1,l
letm2,l
lsm1,l
leprotl1,l
lonrf1,l
lrp2bp,l
lpl,l
lzts1,l
lpar2,l
lrrc25,l
lsm4,l
large1,l
lsm6,l
lyl1,l
lonp2,l
lpcat2,l
lrrc29,l
lrrc36,l
lcat,l
lncbate1,l
ldhd,l
lrrc3b,l
lrmda,l
lrrc18,l
ldb3,l
lrit1,l
lrit2,l
lgals3,l
lrp10,l
ltb4r2,l
ltb4r1,l
lats2,l
loxl2,l
lgi3,l
lpar6,l
lrch1,l
lrrc63,l
lcp1,l
lacc1,l
lmo7,l
ldlr,l
layn,l
lingo1,l
lman1l,l
loxl1,l
lrrc49,l
larp6,l
lctl,l
lactb,l
lipc,l
leo1,l
lysmd2,l
lrrc1,l
lca5,l
lsmem2,l
lamb2,l
lrrc2,l
ltf,l
lrrfip2,l
lyzl4,l
lars2,l
limd1,l
lztfl1,l
limk2,l
lif,l
lgalsl,l
lcp2,l
lsm11,l
ltc4s,l
leap2,l
lyrm7os,l
lyrm7,l
larp1,l
lypd8,l
llgl1,l
lrrc75a,l
lrrc75aos2,l
lrrc75aos1,l
lyrm9,l
lgals9,l
lig3,l
lhx1,l
lhx1os,l
lpo,l
luc7l3,l
lrrc59,l
lrrc46,l
lasp1,l
lsm12,l
lrrc37a,l
lyzl6,l
limd2,l
llgl2,l
lgals3bp,l
lrrc45,l
larp4b,l
lgals8,l
lyst,l
lyrm4,l
ly86,l
lman2,l
lect2,l
lpcat1,l
lrrc14b,l
lysmd3,l
lhfpl2,l
lncenc1,l
ldah,l
laptm4a,l
lpin1,l
lamb1,l
lrrc72,l
lsmem1,l
lrrn3,l
lrr1,l
l2hgdh,l
l3hypdh,l
lrrc9,l
lin52,l
ltbp2,l
lgmn,l
lbhd2,l
lifr,l
lmbrd2,l
laptm4b,l
lrp12,l
lrrc6,l
lypd2,l
lynx1,l
ly6d,l
ly6k,l
ly6e,l
ly6i,l
ly6a,l
ly6c1,l
ly6c2,l
ly6g,l
ly6f,l
ly6h,l
lrrc14,l
lrrc24,l
lgals2,l
lgals1,l
l3mbtl2,l
lmf2,l
lrrk2,l
lalba,l
lmbr1l,l
lima1,l
larp4,l
letmd1,l
litaf,l
lztr1,l
lrrc74b,l
lamp3,l
liph,l
lppos,l
lpp,l
lrrc15,l
lsg1,l
lrch3,l
lmln,l
lrrc58,l
lsamp,l
ltn1,l
lca5l,l
ldhal6b,l
lix1,l
lnpep,l
lmf1,l
luc7l,l
lemd2,l
lsm2,l
ly6g6c,l
ly6g6d,l
ly6g6e,l
ly6g6f,l
ly6g5c,l
ly6g5b,l
lst1,l
ltb,l
lta,l
lrrc73,l
lrfn2,l
lrg1,l
lonp1,l
lama1,l
l3mbtl4,l
lpin2,l
lbh,l
lclat1,l
ltbp1,l
lrpprc,l
lhcgr,l
lama3,l
lims2,l
lrrtm2,l
lars,l
lvrn,l
lox,l
lmnb1,l
lman1,l
ldlrad4,l
lipg,l
loxhd1,l
lrp5,l
lrfn4,l
ltbp3,l
lgals12,l
lrrn4cl,l
lbhd1,l
lrrc10b,l
lpxn,l
lipo3,l
lipo2,l
lipf,l
lipn,l
lipm,l
lipa,l
lgi1,l
lcor,l
loxl4,l
lzts2,l
lbx1,l
ldb1,l
d030040b21rik,d
defb41,d
dst,d
d930019o06rik,d
dnah7b,d
dnah7c,d
dnah7a,d
d630023f18rik,d
d230017m19rik,d
dnajb2,d
dnpep,d
des,d
dock10,d
dner,d
dis3l2,d
dgkd,d
dnajb3,d
dusp28,d
dtymk,d
d2hgdh,d
d1ertd622e,d
d630008o14rik,d
dsel,d
dbi,d
ddx18,d
dpp10,d
dars,d
dyrk3,d
dstyk,d
ddx59,d
dennd1b,d
dhx9,d
dars2,d
dnm3,d
dnm3os,d
dpt,d
dcaf6,d
dusp27,d
ddr2,d
dusp12,d
dedd,d
dcaf8,d
dusp23,d
desi2,d
dnah14,d
degs1,d
disp1,d
dusp10,d
d730003i15rik,d
dtl,d
diexf,d
dclre1c,d
dhtkd1,d
dnajc1,d
dph7,d
dpp7,d
dnlz,d
dbhos,d
dbh,d
ddx31,d
dolk,d
dolpp1,d
dnm1,d
dpm2,d
dab2ip,d
dennd1a,d
dapl1,d
dpp4,d
dhrs9,d
dcaf17,d
dync1i2,d
dlx1as,d
dlx1,d
dlx2,d
dnajc10,d
dusp19,d
ddb2,d
dgkz,d
d430041d05rik,d
depdc7,d
dnajc24,d
dph6,d
d330050g23rik,d
disp2,d
dnajc17,d
dll4,d
duox2,d
duoxa2,d
duoxa1,d
duox1,d
dut,d
dtwd1,d
dusp2,d
ddrgk1,d
dstn,d
dzank1,d
dtd1,d
defb26,d
defb25,d
dusp15,d
dnmt3bos,d
dnmt3b,d
dnmt3c,d
dynlrb1,d
dlgap4,d
dsn1,d
d630003m21rik,d
dhx35,d
dbndd2,d
dnttip1,d
ddx27,d
dpm1,d
dok5,d
dido1,d
dnajc5,d
dgkk,d
dynlt3,d
ddx3x,d
dock11,d
dcaf12l2,d
dcaf12l1,d
dxbay18,d
dusp9,d
dnase1l1,d
dkc1,d
dmd,d
dgat2l6,d
dlg3,d
dmrtc1a,d
dach2,d
diaph2,d
drp2,d
d330045a20rik,d
dcx,d
dnajc19,d
dcun1d1,d
d3ertd254e,d
d3ertd751e,d
dclk1,d
dhx36,d
dchs2,d
dclk2,d
dap3,d
dpm3,d
dcst1,d
dcst2,d
dennd4b,d
dennd2c,d
dclre1b,d
ddx20,d
dennd2d,d
dram2,d
dph5,d
dbt,d
dpyd,d
dnttip2,d
dkk2,d
ddit4l,d
dnajb14,d
dapp1,d
ddah1,d
dnase2b,d
dnajb4,d
depdc1a,d
dpy19l4,d
decr1,d
ddx58,d
dnaja1,d
dcaf12,d
dnaic1,d
dctn3,d
dnajb5,d
dcaf10,d
d630039a03rik,d
dnajc25,d
dmac1,d
dennd4c,d
dmrta1,d
dock7,d
dnajc6,d
dab1,d
dhcr24,d
dio1,d
dmrtb1,d
dmrta2os,d
dmrta2,d
dmbx1,d
dmap1,d
dph2,d
dnali1,d
dlgap3,d
dcdc2b,d
dnajc8,d
dhdds,d
ddost,d
ddi2,d
dnajc16,d
dhrs3,d
draxin,d
disp3,d
dffa,d
dnajc11,d
dffb,d
dvl1,d
dbf4,d
dmtf1,d
dnajc2,d
dpp6,d
dnajb6,d
drc1,d
dpysl5,d
depdc5,d
dok7,d
d5ertd579e,d
d5ertd615e,d
dhx15,d
dthd1,d
dcun1d4,d
dck,d
dmp1,d
d930016d06rik,d
dr1,d
dgkq,d
ddx51,d
dao,d
dynll1,d
ddx54,d
dtx1,d
diablo,d
denr,d
ddx55,d
dnah10,d
dhx37,d
dnajc30,d
dtx2,d
dnaaf5,d
daglb,d
d130017n08rik,d
d5ertd605e,d
d730045b01rik,d
dync1i1,d
dlx6os1,d
dlx6,d
dlx5,d
d830026i12rik,d
dgki,d
d630045j12rik,d
dennd2a,d
doxl2,d
dnah6,d
dok1,d
dqx1,d
dctn1,d
dguok,d
dysf,d
dusp11,d
d6ertd527e,d
dnajb8,d
dcp1b,d
d330020a13rik,d
dppa3,d
dyrk4,d
d6wsu163e,d
dusp16,d
ddx47,d
dera,d
d6ertd474e,d
dennd5b,d
d030047h15rik,d
dnaaf3,d
dhx34,d
dact3,d
dmwd,d
dmpk,d
d830036c21rik,d
d930028m14rik,d
dedd2,d
dmac2,d
dyrk1b,d
dll3,d
dpf1,d
dmkn,d
d7ertd128e,d
dpy19l3,d
dkkl1,d
dhdh,d
dbp,d
dbx1,d
det1,d
dlg2,d
ddias,d
dgat2,d
dnajb13,d
dnhd1,d
dchs1,d
dennd5a,d
dkk3,d
dcun1d3,d
dnah3,d
dctn5,d
d430042o09rik,d
doc2a,d
dctpp1,d
dmbt1,d
dhx32,d
d7ertd443e,d
dock1,d
dpysl4,d
drd4,d
deaf1,d
dusp8,d
dhcr7,d
dse,d
d030034a15rik,d
ddo,d
d030045p18rik,d
dcbld1,d
dnajb12,d
ddit4,d
d830039m14rik,d
ddx21,d
ddx50,d
dna2,d
dnajc12,d
ddt,d
derl3,d
dip2a,d
dnmt3l,d
d10jhu81e,d
dazap1,d
dot1l,d
diras1,d
dapk3,d
dohh,d
d10wsu102e,d
dram1,d
dcn,d
dusp6,d
d630029k05rik,d
dyrk2,d
d930020b18rik,d
dtx3,d
dctn2,d
ddit3,d
dgka,d
dnajc14,d
dcun1d2,d
defb40,d
defb6,d
defa30,d
defa34,d
defa24,d
defb1,d
dkk4,d
d830025c05rik,d
ddhd2,d
dusp26,d
dctn6,d
dusp4,d
dlc1,d
dctd,d
ddx60,d
d130040h23rik,d
ddx49,d
dda1,d
d830024n08rik,d
dnajb1,d
ddx39,d
dcaf15,d
d8ertd738e,d
dand5,d
dnase2a,d
dhps,d
dnaja2,d
dok4,d
drc7,d
dync1li2,d
d230025d16rik,d
dpep3,d
dpep2,d
dus2,d
dpep2nb,d
ddx28,d
d030068k23rik,d
dhx38,d
dhodh,d
ddx19a,d
ddx19b,d
dynlrb2,d
dnaaf1,d
dpep1,d
def8,d
dbndd1,d
disc1,d
d830030k20rik,d
dnase1l3,d
d030051j21rik,d
dnajc9,d
dupd1,d
dusp13,d
dlg5,d
duxbl1,d
duxbl3,d
dennd6a,d
dnah12,d
dcp1a,d
dnah1,d
d830044d21rik,d
dph3,d
dydc2,d
ddhd1,d
dlgap5,d
dad1,d
dhrs2,d
dhrs4,d
dcaf11,d
dhrs1,d
dleu7,d
defb47,d
defb30,d
defb42,d
dpysl2,d
dock5,d
dmtn,d
dok2,d
dnajc15,d
dgkh,d
diaph3,d
dach1,d
dis3,d
d130079a08rik,d
dct,d
dzip1,d
dnajc3,d
dock9,d
ddi1,d
dync2h1,d
dcun1d5,d
deup1,d
dnmt1,d
dnm2,d
dock6,d
dpy19l1,d
dcps,d
ddx25,d
d630033o11rik,d
dpagt1,d
ddx6,d
dscaml1,d
dlat,d
dixdc1,d
ddx10,d
dmxl2,d
dnaja4,d
dis3l,d
dennd4a,d
dpp8,d
dapk2,d
dyx1c1,d
dppa5a,d
ddx43,d
d430036j16rik,d
dopey1,d
dbr1,d
dzip1l,d
dnajc13,d
d030055h07rik,d
dusp7,d
dcaf1,d
dock3,d
dag1,d
dalrd3,d
dhx30,d
dclk3,d
dync1li1,d
d730003k21rik,d
dlec1,d
d830035m03rik,d
drg1,d
dusp18,d
dbnl,d
ddx56,d
ddc,d
d630024d03rik,d
dock2,d
d930048n14rik,d
drc3,d
drg2,d
dhrs7b,d
dnah9,d
dhrs7c,d
dnah2,d
dnah2os,d
dvl2,d
dlg4,d
dhx33,d
derl2,d
dph1,d
doc2b,d
dbil5,d
dhrs13os,d
dhrs13,d
ddx52,d
dusp14,d
dhrs11,d
dhx40,d
dynll2,d
dgke,d
dgkeos,d
dlx3,d
dlx4,d
dlx4os,d
dnajc7,d
dhx58os,d
dhx58,d
dhx8,d
dusp3,d
dcakd,d
dcaf7,d
ddx42,d
ddx5,d
d11wsu47e,d
dnaic2,d
dnah17,d
dcxr,d
dus1l,d
dip2c,d
d130043k22rik,d
dcdc2a,d
dusp22,d
d930007j09rik,d
dsp,d
dtnbp1,d
dek,d
diras2,d
drd1,d
dbn1,d
dok3,d
ddx41,d
ddx46,d
dapk1,d
d030007l05rik,d
dhfr,d
dmgdh,d
dimt1,d
depdc1b,d
ddx4,d
dhx29,d
d13ertd608e,d
dtnb,d
dtnbos,d
dnmt3a,d
dnmt3aos,d
dnajc27,d
ddx1,d
dcdc2c,d
dld,d
dus4l,d
d630036h23rik,d
dgkb,d
dock4,d
dnajb9,d
dtd2,d
dnaaf2,d
dact1,d
daam1,d
dhrs7,d
d830013o20rik,d
dbpht2,d
dcaf5,d
dpf3,d
dcaf4,d
dnal1,d
d030025p21rik,d
dlst,d
dio2,d
dglucy,d
d130020l05rik,d
ddx24,d
dicer1,d
d430019h16rik,d
degs2,d
dlk1,d
dio3,d
dync1h1,d
dnah11,d
dab2,d
dnajc21,d
drosha,d
dnah5,d
dap,d
dcaf13,d
dcstamp,d
dpys,d
dscc1,d
deptor,d
derl1,d
dennd3,d
d730001g18rik,d
dgat1,d
ddx17,d
dmc1,d
dnal4,d
dnajb7,d
desi1,d
dennd6b,d
dbx2,d
d030018l15rik,d
ddx23,d
ddn,d
dhh,d
dnajc22,d
dip2b,d
dazap2,d
d930007p13rik,d
dnase1,d
dnaja3,d
dexi,d
dnm1l,d
dgcr2,d
dgcr14,d
dgcr6,d
dgcr8,d
dvl3,d
dgkg,d
dnajb11,d
dlg1,d
dirc2,d
dtx3l,d
d930030i03rik,d
drd3,d
dppa2,d
dzip3,d
dubr,d
dcbld2,d
d16ertd472e,d
dnajc28,d
donson,d
d430001f17rik,d
dopey2,d
dscr3,d
dyrk1a,d
dscam,d
dynlt1a,d
dynlt1b,d
dynlt1c,d
dynlt1f,d
dact2,d
dll1,d
d930048g16rik,d
dcpp1,d
dcpp2,d
dcpp3,d
dnase1l2,d
d630044l22rik,d
decr2,d
dusp1,d
d17wsu92e,d
def6,d
dnah8,d
daxx,d
dxo,d
ddah2,d
d17h6s53e,d
ddx39b,d
dpcr1,d
ddr1,d
dhx16,d
dlk2,d
dnph1,d
daam2,d
dazl,d
dpp9,d
dus3l,d
dennd1c,d
ddx11,d
dlgap1,d
dpy30,d
dhx57,d
dync2li1,d
ddx3y,d
dsc3,d
dsc2,d
