,table
hist1h2bk,h
hist1h4i,h
hist1h2ag,h
hist1h2bj,h
hist1h4h,h
hist1h2af,h
hist1h3g,h
hist1h2bh,h
hist1h3f,h
hist1h4f,h
hist1h1d,h
hist1h3e,h
hist1h2ae,h
hist1h2bg,h
hist1h2bf,h
hist1h2ad,h
hist1h3d,h
hist1h4d,h
hist1h2be,h
hist1h1e,h
hist1h2ac,h
hist1h2bc,h
hist1h1t,h
hist1h4c,h
hfe,h
hist1h1c,h
hist1h3c,h
hist1h2bb,h
hist1h2ab,h
hist1h3b,h
hist1h4b,h
hist1h4a,h
hist1h3a,h
hist1h1a,h
hist1h2aa,h
hus1b,h
hivep1,h
hrh2,h
higd2a,h
hk3,h
h2afy,h
hnrnpa0,h
hnrnpk,h
habp4,h
hapln1,h
homer1,h
hmgcr,h
hexb,h
hspb3,h
hcn1,h
hmgcs1,h
hs1bp3,h
hpcal1,h
hbp1,h
hdac9,h
hectd1,h
heatr5a,h
hif1a,h
hspa2,h
heatr4,h
hhipl1,h
hsp90aa1,h
has2,h
hgh1,h
hsf1,h
h1f0,h
hdac10,h
hdac7,h
hoxc11,h
hoxc10,h
hoxc5,h
hoxc9,h
hoxc8,h
hoxc6,h
hoxc4,h
hnrnpa1,h
hmox2,h
hic2,h
hira,h
hrg,h
hrasls,h
hes1,h
heg1,h
hacd2,h
hspbap1,h
hcls1,h
hgd,h
htr1f,h
hspa13,h
hunk,h
hlcs,h
hmgn1,h
has1,h
hcfc1r1,h
hs3st6,h
hagh,h
haghl,h
hmga1,h
hsf2bp,h
hnrnpm,h
h2-k1,h
h2-ke6,h
h2-oa,h
h2-dma,h
h2-dmb2,h
h2-dmb1,h
h2-ob,h
h2-ab1,h
h2-aa,h
h2-eb1,h
h2-eb2,h
hspa1b,h
hspa1a,h
hspa1l,h
h2-d1,h
h2-q1,h
h2-q2,h
h2-q4,h
h2-q6,h
h2-q7,h
h2-q10,h
h2-t24,h
h2-t23,h
h2-t22,h
h2-t3,h
h2-m10.2,h
h2-m10.3,h
h2-m11,h
h2-m9,h
h2-m5,h
h2-m3,h
h2-m2,h
hsp90ab1,h
hdgfl2,h
heatr5b,h
hnrnpll,h
haao,h
hrh4,h
hspa9,h
hbegf,h
hars,h
hars2,h
hdac3,h
hsd17b4,h
hmgxb3,h
htr4,h
hdhd2,h
haus1,h
hsbp1l1,h
hrasls5,h
hnrnpul2,h
htr7,h
hectd2,h
hhex,h
hells,h
hoga1,h
hps1,h
hpse2,h
hif1an,h
hps6,h
habp2,h
hspa12a,h
sox17,s0
st18,s0
sntg1,s0
sgk3,s0
snhg6,s0
sulf1,s0
slco5a1,s0
sbspon,s0
stau2,s0
smap1,s0
sdhaf4,s0
sema4c,s0
slc9a4,s0
slc9a2,s0
slc40a1,s0
slc39a10,s0
stat4,s0
stat1,s0
stk17b,s0
sf3b1,s0
satb2,s0
spats2l,s0
sgo2a,s0
stradb,s0
sumo1,s0
spag16,s0
smarcal1,s0
slc11a1,s0
stk36,s0
slc23a3,s0
stk16,s0
speg,s0
stk11ip,s0
slc4a3,s0
sgpp2,s0
scg2,s0
serpine2,s0
slc19a3,s0
sphkap,s0
slc16a14,s0
sp110,s0
sp140,s0
sp100,s0
spata3,s0
sag,s0
sh3bp4,s0
scly,s0
sned1,s0
sept2,s0
stk25,s0
st8sia4,s0
slco4c1,s0
serpinb5,s0
serpinb12,s0
serpinb3a,s0
serpinb11,s0
serpinb7,s0
serpinb2,s0
serpinb8,s0
sctr,s0
steap3,s0
slc35f5,s0
srgap2,s0
slc26a9,s0
slc41a1,s0
slc45a3,s0
sox13,s0
snrpe,s0
syt2,s0
shisa4,s0
swt1,s0
smg7,s0
shcbp1l,s0
stx6,s0
soat1,s0
sec16b,s0
serpinc1,s0
suco,s0
scyl3,s0
sele,s0
sell,s0
selp,s0
slc19a2,s0
sft2d2,s0
sh2d1b2,s0
sh2d1b1,s0
sdhc,s0
slamf7,s0
slamf1,s0
slamf6,s0
slamf9,s0
slamf8,s0
spta1,s0
sdccag8,s0
smyd3,s0
sccpdh,s0
stum,s0
sde2,s0
srp9,s0
susd4,s0
slc30a10,s0
spata17,s0
smyd2,s0
spata45,s0
slc30a1,s0
sertad4,s0
syt14,s0
suv39h2,s0
sephs1,s0
sec61a2,s0
sfmbt2,s0
st8sia6,s0
stam,s0
slc39a12,s0
skida1,s0
spag6,s0
spopl,s0
stpg3,s0
slc34a3,s0
ssna1,s0
sapcd2,s0
sohlh1,s0
snapc4,s0
sdccag3,s0
sec16a,s0
snhg7os,s0
surf6,s0
surf1,s0
surf2,s0
surf4,s0
stkld1,s0
slc2a6,s0
sardh,s0
spaca9,s0
setx,s0
slc27a4,s0
sptan1,s0
set,s0
spout1,s0
sh3glb2,s0
swi5,s0
slc25a25,s0
st6galnac4,s0
st6galnac6,s0
sh2d3c,s0
stxbp1,s0
slc2a8,s0
stom,s0
strbp,s0
scai,s0
stam2,s0
slc4a10,s0
slc38a11,s0
scn3a,s0
scn2a,s0
scn1a,s0
scn9a,s0
scn7a,s0
stk39,s0
spc25,s0
ssb,s0
sp5,s0
slc25a12,s0
sp3,s0
sp3os,s0
sp9,s0
scrn3,s0
sestd1,s0
ssfa2,s0
selenoh,s0
serping1,s0
slc43a1,s0
slc43a3,s0
ssrp1,s0
slc39a13,s0
spi1,s0
slc35c1,s0
syt13,s0
slc1a2,s0
slc12a6,s0
scg5,s0
spred1,s0
srp14,s0
spint1,s0
snap23,s0
stard9,s0
strc,s0
serinc4,s0
serf2,s0
spg11,s0
sord,s0
shf,s0
slc28a2,s0
slc30a4,s0
sqor,s0
sema6d,s0
slc24a5,s0
slc12a1,s0
shc4,s0
secisbp2l,s0
slc27a2,s0
sppl2a,s0
snrnp200,s0
stard7,s0
slc20a1,s0
sirpa,s0
stk35,s0
snrpb,s0
slc4a11,s0
siglec1,s0
spef1,s0
smox,s0
slc23a2,s0
slx4ip,s0
sptlc3,s0
sel1l2,s0
snrpb2,s0
snx5,s0
sec23b,s0
smim26,s0
scp2d1,s0
slc24a3,s0
sstr4,s0
syndig1,s0
sdcbp2,s0
snph,s0
slc52a3,s0
scrt2,s0
srxn1,s0
sox12,s0
snta1,s0
spag4,s0
scand1,s0
sla2,s0
soga1,s0
samhd1,s0
src,s0
snhg11,s0
slc32a1,s0
srsf6,s0
sgk2,s0
serinc3,s0
stk4,s0
svs2,s0
svs4,s0
svs3a,s0
svs6,s0
svs5,s0
slpi,s0
sdc4,s0
sys1,s0
spint4,s0
spint5,s0
snx21,s0
spata25,s0
slc12a5,s0
slc35c2,s0
slc13a3,s0
slc2a10,s0
sulf2,s0
stau1,s0
slc9a8,s0
spata2,s0
snai1,s0
sall4,s0
spo11,s0
stx16,s0
sycp2,s0
ss18l1,s0
slco4a1,s0
slc17a9,s0
srms,s0
stmn3,s0
samd10,s0
sox18,s0
shroom4,s0
syp,s0
slc35a2,s0
suv39h1,s0
slc38a5,s0
sytl5,s0
srpx,s0
slc9a7,s0
syn1,s0
slc6a14,s0
slc25a43,s0
slc25a5,s0
sept6,s0
sowahd,s0
stag2,s0
sh2d1a,s0
smarca1,s0
sash3,s0
slc25a14,s0
stk26,s0
smim10l2a,s0
slc9a6,s0
slitrk4,s0
slitrk2,s0
spin2d,s0
slc6a8,s0
srpk3,s0
ssr4,s0
slc10a3,s0
smim9,s0
spin4,s0
stard8,s0
slc7a3,s0
snx12,s0
slc16a2,s0
sh3bgrl,s0
satl1,s0
srpx2,s0
sytl4,s0
slc25a53,s0
smc1a,s0
shroom2,s0
spin2c,s0
sat1,s0
sms,s0
smpx,s0
sh3kbp1,s0
scml2,s0
syap1,s0
s100g,s0
siah1b,s0
stmn2,s0
slc10a5,s0
snx16,s0
sirpb1a,s0
sirpb1b,s0
sirpb1c,s0
slc2a2,s0
samd7,s0
sec62,s0
skil,s0
slc7a14,s0
sox2,s0
spata5,s0
spry1,s0
slc25a31,s0
sclt1,s0
slc7a11,s0
setd7,s0
stoml3,s0
supt20,s0
smad9,s0
sertm1,s0
spg20,s0
sohlh2,s0
serp1,s0
selenot,s0
siah2,s0
sucnr1,s0
slc33a1,s0
ssr3,s0
shox2,s0
schip1,s0
smc4,s0
sptssb,s0
sis,s0
serpini2,s0
serpini1,s0
sfrp2,s0
sh3d19,s0
sh2d2a,s0
smg5,s0
slc25a44,s0
sema4a,s0
ssr2,s0
syt11,s0
scamp3,s0
slc50a1,s0
shc1,s0
she,s0
slc39a1,s0
slc27a3,s0
snapin,s0
s100a1,s0
s100a13,s0
s100a14,s0
s100a16,s0
s100a3,s0
s100a2,s0
s100a4,s0
s100a5,s0
s100a6,s0
s100a7a,s0
s100a8,s0
s100a9,s0
sprr2a1,s0
sprr2a3,s0
sprr2b,s0
sprr2d,s0
sprr2i,s0
sprr2j-ps,s0
sprr1b,s0
sprr3,s0
sprr1a,s0
sprr4,s0
s100a11,s0
s100a10,s0
snx27,s0
selenbp2,s0
selenbp1,s0
scnm1,s0
sema6c,s0
setdb1,s0
sf3b4,s0
sv2a,s0
sec22b,s0
spag17,s0
spag17os,s0
slc22a15,s0
sike1,s0
syt6,s0
slc16a1,s0
st7l,s0
slc16a4,s0
slc6a17,s0
strip1,s0
sypl2,s0
sort1,s0
sars,s0
stxbp3,s0
slc25a24,s0
s1pr1,s0
slc30a7,s0
