,table
krit1,k
kmt2e,k
klhl7,k
kcnh2,k
kmt2c,k
kcnk3,k
khk,k
krtcap3,k
klf3,k
klhl5,k
kit,k
kdr,k
klhl8,k
kctd10,k
ksr2,k
kdm2b,k
kntc1,k
kmt5a,k
kctd7,k
kdelr2,k
katnal1,k
kl,k
kcp,k
klhdc10,k
klrg2,k
kdm7a,k
krba1,k
kbtbd2,k
krcc1,k
kdm3a,k
kcmf1,k
kbtbd12,k
klf15,k
kbtbd8,k
kdm5a,k
klrg1,k
kcna5,k
kcna1,k
kcna6,k
klrb1a,k
klrb1,k
klrb1c,k
klrb1b,k
klrb1f,k
klre1,k
klrd1,k
klrk1,k
klrc2,k
klrc1,k
klri1,k
klri2,k
klra17,k
klra5,k
klra6,k
klra4,k
klra8,k
klra9,k
klra7,k
klra3,k
klra1,k
klra2,k
kcnj8,k
kras,k
klhl42,k
kmt5c,k
kptn,k
klc3,k
kcnn4,k
kcnk6,k
kirrel2,k
kmt2b,k
krtdap,k
kctd15,k
klk8,k
klk4,k
klk1b9,k
klk1b11,k
klk1b26,k
klk1b27,k
klk1,k
kcnc3,k
kcna7,k
kcnj14,k
kdelr1,k
kcnc1,k
klf13,k
klhl25,k
kif7,k
kctd21,k
kctd14,k
klhl35,k
kcne3,k
knop1,k
kdm8,k
kctd13,k
kif22,k
kat8,k
kndc1,k
kcnq1,k
katna1,k
kiss1r,k
klf16,k
kitl,k
krr1,k
kcnmb4,k
kif5a,k
kbtbd11,k
kat6a,k
klhl2,k
klhl26,k
kxd1,k
kcnn1,k
klf2,k
klf1,k
katnb1,k
kifc3,k
kctd19,k
kars,k
klhl36,k
klhdc4,k
kcnk1,k
kctd6,k
kcnk5,k
kat6b,k
kcnma1,k
ktn1,k
klhl33,k
khnyn,k
kpna3,k
kcnrg,k
kif13b,k
kctd9,k
kctd4,k
kbtbd7,k
kbtbd6,k
klf5,k
klf12,k
kctd12,k
kbtbd3,k
kdm4d,k
keap1,k
kri1,k
kank2,k
kirrel3,k
kmt2a,k
kif23,k
kbtbd13,k
khdc3,k
klhl31,k
klhdc8b,k
klhl18,k
kif9,k
kif15,k
kremen1,k
kcnmb1,k
kif3a,k
kcnj12,k
kcnab3,k
kdm6b,k
kctd11,k
kif1c,k
ksr1,k
kat7,k
kpnb1,k
krt222,k
krt28,k
krt10,k
krt20,k
krt23,k
krt13,k
krt19,k
krt14,k
krt17,k
klhl10,k
klhl11,k
kat2a,k
kcnh4,k
kif18b,k
kansl1,k
kpna2,k
kcnj16,k
kcnj2,k
kif19a,k
kctd2,k
klf6,k
kif13a,k
kdm1b,k
klhl3,k
kif27,k
kif2a,k
kif3c,k
klhl29,k
kcns3,k
klf11,k
kidins220,k
klhl28,k
klhdc1,k
klhdc2,k
kcnk10,k
kcnk13,k
klc1,k
kif26a,k
klf10,k
klhl38,k
kcnq3,k
khdrbs3,k
kifc2,k
kctd17,k
kdelr3,k
kif21a,k
kansl2,k
kmt2d,k
kcnh3,k
krt80,k
krt7,k
krt81,k
krt83,k
krt5,k
krt1,k
krt4,k
krt79,k
krt78,k
krt8,k
krt18,k
klhl22,k
klhl6,k
klhl24,k
kng2,k
kalrn,k
kpna1,k
kcne1,k
kcnj15,k
kremen2,k
kctd5,k
kifc5b,k
kctd20,k
kank3,k
kifc1,k
klc4,k
klhdc3,k
kcnh8,k
kat2b,k
kdm4b,k
khsrp,k
kcng3,k
kcnk12,k
kdm5d,k
kif5b,k
kctd1,k
klhl14,k
kif20a,k
kdm3b,k
katnal2,k
kcng2,k
kmt5b,k
kdm2a,k
klc2,k
kat5,k
kcnk7,k
klf9,k
kank1,k
kif20b,k
kif11,k
kazald1,k
kcnip2,k
unnamed: 0,u
ube2w,u
uggt1,u
unc50,u
uxs1,u
usp37,u
utp14b,u
usp40,u
ugt1a7c,u
ugt1a6b,u
ugt1a6a,u
ugt1a5,u
ugt1a2,u
ube2f,u
ubxn4,u
ube2t,u
uchl5,u
uck2,u
uap1,u
uhmk1,u
usp21,u
ufc1,u
usf1,u
ucma,u
upf2,u
usp6nl,u
uap1l1,u
ubac1,u
urm1,u
usp20,u
uck1,u
upp2,u
ubr3,u
ube2e3,u
ube2l6,u
ubr1,u
usp8,u
usp50,u
ubox5,u
uqcc1,u
ube2c,u
ube2v1,u
uckl1,u
usp27x,u
usp9x,u
uba1,u
usp11,u
uxt,u
ube2a,u
upf3b,u
utp14a,u
ubl4a,u
uprt,u
usp51,u
ubqln2,u
ufm1,u
ubqln4,u
ube2q1,u
ubap2l,u
usp53,u
ugt8a,u
ube2d3,u
unc5c,u
uox,u
usp33,u
ubxn2b,u
usp45,u
ufl1,u
ube2j1,u
ube2r2,u
ubap2,u
ubap1,u
unc13b,u
ugcg,u
usp1,u
usp24,u
uqcrh,u
urod,u
utp11,u
ubxn11,u
usp48,u
ubr4,u
ubiad1,u
ube4b,u
ube2j2,u
ube3c,u
uvssa,u
ugdh,u
ube2k,u
uchl1,u
usp46,u
uba6,u
utp3,u
uso1,u
ube2d2b,u
ulk1,u
usp30,u
ung,u
ube3b,u
unc119b,u
ubc,u
upk3bl,u
ufsp1,u
usp42,u
usp12,u
ubl3,u
uspl1,u
umad1,u
ube2h,u
ubn2,u
usp39,u
uba3,u
usp18,u
usp5,u
ube2s,u
u2af2,u
ube2m,u
u2af1l4,u
upk1a,u
usf2,u
uba2,u
uri1,u
ush1c,u
uevld,u
ube3a,u
unc45a,u
usp35,u
uvrag,u
ucp3,u
ucp2,u
usp47,u
uqcrc2,u
usp31,u
ubfd1,u
uros,u
utf1,u
urah,u
ulbp1,u
ust,u
utrn,u
unc5b,u
ube2d1,u
upb1,u
ube2g2,u
uqcr11,u
utp20,u
uhrf1bp1l,u
usp44,u
ube2n,u
usp15,u
upf3a,u
ubxn8,u
ufsp2,u
upf1,u
uba52,u
use1,u
ushbp1,u
unc13a,u
usp38,u
ucp1,u
usb1,u
utp4,u
usp10,u
urb2,u
ube2e1,u
ube2e2,u
usp54,u
uchl3,u
uggt2,u
ubac2,u
ubl5,u
ubash3b,u
usp2,u
ube4a,u
usp28,u
ube2q2,u
ulk3,u
ubl7,u
uaca,u
uchl4,u
ubap1l,u
usp3,u
ube2cbp,u
u2surp,u
uba5,u
uba7,u
usp4,u
usp19,u
uqcrc1,u
ubp1,u
ulk4,u
uqcr10,u
urgcp,u
upp1,u
ugp2,u
usp34,u
ubtd2,u
ublcp1,u
ube2b,u
uqcrq,u
usp22,u
ulk2,u
ubb,u
usp43,u
ube2g1,u
unc119,u
utp6,u
unc45b,u
usp32,u
utp18,u
ube2z,u
ubtf,u
unk,u
unc13d,u
ubald2,u
ube2o,u
usp36,u
uqcrfs1,u
unc5a,u
uimc1,u
ubqln1,u
uqcrb,u
ube2ql1,u
utp15,u
ubxn2a,u
ubr7,u
unc79,u
ubr5,u
utp23,u
ubald1,u
ubn1,u
usp7,u
ube2v2,u
ube2l3,u
ufd1,u
ubxn7,u
umps,u
usf3,u
usp25,u
usp16,u
urb1,u
unc93a,u
unkl,u
ube2i,u
uqcc2,u
uhrf1bp1,u
ubash3a,u
u2af1,u
ubd,u
ubr2,u
usp49,u
unc5cl,u
ubxn6,u
uhrf1,u
uty,u
usp14,u
ube2d2a,u
unc93b1,u
ubxn1,u
uqcc3,u
uhrf2,u
ubtd1,u
qsox1,q
qsox2,q
qrfp,q
qser1,q
qdpr,q
qpctl,q
qprt,q
qrsl1,q
qtrt1,q
qars,q
qrich1,q
qrich2,q
qtrt2,q
qpct,q
ncoa2,n
neurl3,n
npas2,n
nck2,n
nabp1,n
nab1,n
nemp2,n
nif3l1,n
ndufb3,n
nop58,n
nbeal1,n
nrp2,n
ndufs1,n
nhej1,n
nyap2,n
ncl,n
nmur1,n
nppc,n
ngef,n
ndufa10,n
nifk,n
nckap5,n
nucks1,n
nuak2,n
nfasc,n
nav1,n
nr5a2,n
nek7,n
ncf2,n
nmnat2,n
npl,n
nme7,n
nuf2,n
nos1ap,n
nr1i3,n
ndufs2,n
nit1,n
nectin4,n
ncstn,n
nvl,n
nsl1,n
nenf,n
nek2,n
nmt2,n
nudt5,n
nsun6,n
nebl,n
nsmf,n
noxa1,n
nrarp,n
nelfb,n
ndor1,n
npdc1,n
nacc2,n
notch1,n
ntng2,n
nup188,n
ntmt1,n
ncs1,n
nup214,n
naif1,n
ndufa8,n
nek6,n
nr6a1,n
nmi,n
neb,n
nr4a2,n
nostrin,n
nfe2l2,n
nckap1,n
nup35,n
nup160,n
ndufs3,n
nr1h3,n
nat10,n
nop10,n
nusap1,n
ndufaf1,n
ncaph,n
nphp1,n
nop56,n
ndufaf5,n
naa20,n
nkx2-4,n
nxt1,n
napb,n
ninl,n
nanp,n
nsfl1c,n
nol4l,n
necab3,n
ncoa6,n
nfs1,n
ndrg3,n
nnat,n
neurl2,n
ncoa5,n
ncoa3,n
nfatc2,n
npepl1,n
nelfcd,n
nkain4,n
nyx,n
ndp,n
ndufb11,n
nkrf,n
nkap,n
ndufa1,n
nsdhl,n
naa10,n
nlgn3,n
nono,n
nhsl2,n
nap1l2,n
nexmif,n
nap1l3,n
nox1,n
nxf2,n
nxf7,n
nrk,n
nup62cl,n
nxt2,n
nbdy,n
nhs,n
naaladl2,n
nceh1,n
ndufb5,n
nudt6,n
noct,n
ndufc1,n
naa15,n
nhlrc3,n
nbea,n
nmd3,n
ntrk1,n
nes,n
naxe,n
nup210l,n
npr1,n
nudt17,n
notch2,n
ngf,n
nras,n
ntng1,n
ndst3,n
ndst4,n
neurog2,n
npnt,n
nfkb1,n
nexn,n
negr1,n
nsmaf,n
ndufaf6,n
nbn,n
ndufaf4,n
ndufb6,n
nfx1,n
nol6,n
nudt2,n
npr2,n
ncbp1,n
nans,n
nr4a3,n
nipsnap3b,n
nfib,n
nfia,n
ndc1,n
nrd1,n
nsun4,n
nasp,n
nfyc,n
ndufs5,n
ncdn,n
nkain1,n
nudc,n
ncmap,n
nipal3,n
nbl1,n
necap2,n
nmnat1,n
nol9,n
nphp4,n
nadk,n
noc2l,n
napepld,n
nupl2,n
nos3,n
nub1,n
nom1,n
nrbp1,n
nsd2,n
nelfa,n
nat8l,n
nop14,n
nsg1,n
ncapg,n
n4bp2,n
nsun7,n
nfxl1,n
nipal1,n
noa1,n
naaa,n
nup54,n
nkx6-1,n
nudt9,n
noc4l,n
nos1,n
naa25,n
ncor2,n
nipsnap2,n
nupr1l,n
ncf1,n
nsun5,n
nyap1,n
nxpe5,n
nudt1,n
nptx2,n
n4bp2l1,n
n4bp2l2,n
nxph1,n
ndufa4,n
ndufa5,n
nrf1,n
nup205,n
ndufb2,n
nfe2l3,n
nod1,n
nt5c3,n
nap1l5,n
ndnf,n
nagk,n
nat8f3,n
nat8f4,n
nat8f1,n
nfu1,n
nup210,n
nr2c2,n
ninj2,n
necap1,n
nop2,n
ncapd2,n
ntf3,n
ndufa9,n
nrip2,n
nlrp12,n
ndufa3,n
ncr1,n
nat14,n
nop53,n
napa,n
nova2,n
nkpd1,n
nectin2,n
numbl,n
nccrp1,n
nfkbib,n
nfkbid,n
nphs1,n
nudt19,n
nkg7,n
nr1h2,n
napsa,n
nup62,n
nosip,n
ntf5,n
nucb1,n
ntn5,n
nomo1,n
nav2,n
nipa2,n
nipa1,n
ndn,n
nsmce3,n
nr2f2,n
ntrk3,n
ngrn,n
nmb,n
nox4,n
nars2,n
ndufc2,n
neu3,n
numa1,n
nup98,n
nlrp10,n
nrip3,n
nucb2,n
ndufab1,n
nsmce1,n
nfatc2ip,n
nupr1,n
nsmce4a,n
nkx1-2,n
nkx6-2,n
nlrp6,n
nap1l4,n
nadsyn1,n
nup43,n
nhsl1,n
ncoa7,n
nt5dc1,n
nr2e1,n
nepn,n
nus1,n
nodal,n
nrbf2,n
ndufs7,n
nmrk2,n
nfic,n
ncln,n
nfyb,n
nuak1,n
nt5dc3,n
nup37,n
nr1h4,n
nedd1,n
ntn4,n
nr2c1,n
ndufa12,n
nudt4,n
nts,n
nav3,n
nap1l1,n
nup107,n
ndufa4l2,n
nab2,n
nemp1,n
naca,n
nabp2,n
naxd,n
nek3,n
nsd3,n
nrg1,n
neil3,n
nek1,n
npy1r,n
naf1,n
nat2,n
ndufa13,n
nr2c2ap,n
nr2f6,n
nwd1,n
nr3c2,n
ndufb7,n
nanos3,n
nacc1,n
nfix,n
neto2,n
n4bp1,n
nkd1,n
nod2,n
nudt21,n
nup93,n
nlrc5,n
ndrg4,n
nae1,n
nol3,n
nutf2,n
nrn1l,n
nfatc3,n
nip7,n
nfat5,n
nqo1,n
nob1,n
nudt7,n
necab2,n
nup133,n
ntpcr,n
nrp1,n
nek10,n
ngly1,n
nr1d2,n
nkiras1,n
nid2,n
nudt13,n
ndst2,n
nek4,n
nt5dc2,n
nisch,n
ncoa4,n
naa30,n
ndrg2,n
ngdn,n
nedd8,n
nop9,n
nfatc4,n
nynrin,n
neil2,n
nuggc,n
nefm,n
nkx2-6,n
nudt18,n
nudt15,n
nufip1,n
naa16,n
ndfip2,n
naalad2,n
ncapd3,n
ntm,n
nfrkb,n
nrgn,n
nectin1,n
nlrx1,n
nxpe4,n
nxpe2,n
nnmt,n
ncam1,n
npat,n
nrg4,n
neil1,n
nptn,n
neo1,n
nedd4,n
nt5e,n
nmnat3,n
nme9,n
nck1,n
nphp3,n
nudt16,n
nek11,n
nprl2,n
nicn1,n
ndufaf3,n
nckipsd,n
nme6,n
ngp,n
nradd,n
nbeal2,n
nktr,n
nf2,n
nipsnap1,n
nefh,n
nudcd3,n
npc1l1,n
nacad,n
nsg2,n
nprl3,n
npm1,n
nudcd2,n
nipal4,n
nhp2,n
n4bp3,n
nlrp3,n
nt5m,n
natd1,n
ncor1,n
ntn1,n
ndel1,n
naa38,n
nlgn2,n
neurl4,n
nup88,n
nlrp1a,n
nlrp1b,n
ncbp3,n
nxn,n
nsrp1,n
nufip2,n
nek8,n
nlk,n
nos2,n
nf1,n
nle1,n
nog,n
nme2,n
nme1,n
nxph3,n
ngfr,n
nfe2l1,n
npepps,n
nr1d1,n
nt5c3b,n
nkiras2,n
naglu,n
nbr1,n
nmt1,n
nsf,n
nol11,n
nat9,n
nt5c,n
nup85,n
nptx1,n
ndufaf8,n
nploc4,n
npb,n
notum,n
narf,n
net1,n
nid1,n
nkapl,n
nqo2,n
nrn1,n
nedd9,n
nol7,n
nup153,n
nhlrc1,n
ninj1,n
nol8,n
nxnl2,n
nfil3,n
nop16,n
nsd1,n
ntrk2,n
naa35,n
nsun2,n
ndufs6,n
nkd2,n
nr2f1,n
nsa2,n
naip2,n
naip5,n
naip6,n
naip1,n
nln,n
ndufaf2,n
ndufs4,n
nnt,n
nim1k,n
ncoa1,n
nbas,n
nol10,n
nampt,n
nrcam,n
nova1,n
nubpl,n
npas3,n
nfkbia,n
nemf,n
nin,n
numb,n
npc2,n
nek9,n
noxred1,n
nrde2,n
nudt14,n
ncapg2,n
nup155,n
nipbl,n
nadk2,n
npr3,n
nipal2,n
ncald,n
nudcd1,n
ndufb9,n
nsmce2,n
ndrg1,n
naprt,n
nrbp2,n
ncf4,n
nol12,n
nptxr,n
naga,n
ndufa6,n
nfam1,n
nup50,n
ncaph2,n
nckap5l,n
nr4a1,n
npff,n
nfe2,n
nckap1l,n
naa60,n
nlrc3,n
nmral1,n
nudt16l1,n
nagpa,n
nubp1,n
ntan1,n
nde1,n
ncbp2,n
nrros,n
ndufb4,n
naa50,n
nepro,n
nectin3,n
nfkbiz,n
nxpe3,n
nit2,n
nsun3,n
nrip1,n
n6amt1,n
nthl1,n
npw,n
noxo1,n
ndufb10,n
nubp2,n
nme3,n
nme4,n
neurl1b,n
nudt3,n
ndufv3,n
notch3,n
ndufa7,n
notch4,n
nelfe,n
neu1,n
nfkbil1,n
nrm,n
nfkbie,n
nfya,n
ndufa11,n
nrtn,n
nudt12,n
ndufv2,n
ndc80,n
nlrc4,n
ndufaf7,n
nrxn1,n
npc1,n
nrep,n
nme5,n
nrg2,n
ndufa2,n
ndfip1,n
nr3c1,n
ndst1,n
napg,n
nars,n
nedd4l,n
nfatc1,n
ndufs8,n
nudt8,n
ndufv1,n
npas4,n
nrxn2,n
nudt22,n
naa40,n
nxf1,n
nmrk1,n
noc3l,n
nkx2-3,n
ndufb8,n
npm3,n
nolc1,n
nfkb2,n
nt5c2,n
neurl1a,n
nutf2-ps1,n
nhlrc2,n
nanos1,n
yod1,y
yme1l1,y
ypel4,y
ywhab,y
ythdf1,y
yipf6,y
ythdf3,y
yipf1,y
ybx1,y
yrdc,y
yars,y
ythdf2,y
yes1,y
ywhah,y
ythdc1,y
ywhag,y
ybx3,y
yif1b,y
ypel3,y
ybey,y
yeats4,y
yjefn3,y
yap1,y
yipf2,y
ykt6,y
ybx2,y
ywhae,y
ypel2,y
yae1d1,y
ywhaq,y
ylpm1,y
yy1,y
ywhaz,y
yaf2,y
yars2,y
ypel1,y
ydjc,y
yeats2,y
yipf3,y
ypel5,y
yipf4,y
yipf5,y
ythdc2,y
yif1a,y
lypla1,l
lactb2,l
ly96,l
lmbrd1,l
lman2l,l
lipt1,l
lonrf2,l
lancl1,l
lrrfip1,l
lypd1,l
lct,l
lrrn2,l
lax1,l
lgr6,l
lmod1,l
lad1,l
lamc2,l
lamc1,l
ly9,l
lin9,l
lefty1,l
lbr,l
lyplal1,l
lpgat1,l
lamb3,l
lrrc26,l
lcn4,l
lrrc8a,l
lamc3,l
lcn2,l
lrsam1,l
lhx6,l
lhx2,l
lypd6b,l
lypd6,l
ly75,l
lrp2,l
lnpk,l
lrrc55,l
lrp4,l
large2,l
lrrc4c,l
ldlrad3,l
lmo2,l
lin7c,l
lgr4,l
lpcat4,l
ltk,l
lrrc57,l
lcmt2,l
lzts3,l
lrrn4,l
lbp,l
lpin3,l
l3mbtl1,l
lsm14b,l
lama5,l
lime1,l
lancl3,l
lonrf3,l
lamp2,l
l1cam,l
lage3,l
las1l,l
lpar4,l
lrch2,l
lrrcc1,l
lrrc34,l
larp1b,l
lhfp,l
lekr1,l
lxn,l
lrat,l
lrba,l
lrrc71,l
lmna,l
lamtor2,l
lor,l
lingo4,l
lysmd1,l
lix1l,l
lrig2,l
lrif1,l
lamtor5,l
lrrc39,l
larp7,l
lef1,l
lamtor3,l
lmo4,l
lpar3,l
lhx8,l
lrriq3,l
lrrc40,l
lyn,l
lyrm2,l
lingo2,l
lpar1,l
lurap1l,l
leprot,l
lepr,l
ldlrad1,l
lrrc42,l
lrp8,l
lrrc41,l
lurap1,l
lsm10,l
lck,l
laptm5,l
lin28a,l
ldlrap1,l
lypla2,l
luzp1,l
lactbl1,l
lzic,l
lrrc47,l
lrrd1,l
lrrc17,l
lhfpl3,l
lmbr1,l
letm1,l
lrpap1,l
lyar,l
ldb2,l
lap3,l
lcorl,l
lgi2,l
lias,l
limch1,l
lnx1,l
lin54,l
lrrc8b,l
lrrc8c,l
lrrc8d,l
lrcol1,l
lhx5,l
lat2,l
limk1,l
lrwd1,l
lrch4,l
lamtor4,l
lfng,l
lmtk2,l
lnx2,l
lsm8,l
lmod2,l
lrrc4,l
lrguk,l
luc7l2,l
lrrc61,l
lsm5,l
lancl2,l
loxl3,l
lbx2,l
lsm3,l
lrig1,l
lmod3,l
lrrn1,l
lmcd1,l
lhfpl4,l
lrtm2,l
lpcat3,l
lrrc23,l
lag3,l
lpar5,l
ltbr,l
lrp6,l
ldhb,l
lmntd1,l
leng1,l
lilra6,l
lair1,l
leng8,l
leng9,l
lilra5,l
lig1,l
lypd3,l
lipe,l
ltbp4,l
lrfn1,l
lgals4,l
lgals7,l
lrfn3,l
lin37,l
lsr,l
lgi4,l
lsm14a,l
lrp3,l
lrrc4b,l
lin7b,l
lmtk3,l
ldha,l
ldhc,l
luzp2,l
lrrk1,l
lins1,l
lysmd4,l
lrrc28,l
lrrc32,l
lipt2,l
lamtor1,l
lrrc51,l
lmo1,l
lyve1,l
lyrm1,l
lcmt1,l
lat,l
lhpp,l
lrrc27,l
lrrc56,l
lmntd2,l
lsp1,l
lrp11,l
lats1,l
ltv1,l
l3mbtl3,l
lama2,l
lama4,l
lilrb4a,l
lims1,l
lrrc20,l
lrrc75b,l
lss,l
lrrc3,l
lsm7,l
lmnb2,l
lta4h,l
lum,l
lin7a,l
lgr5,l
lyz2,l
lyz1,l
llph,l
lemd3,l
lrig3,l
lrp1,l
lrrc8e,l
lig4,l
lamp1,l
letm2,l
lsm1,l
leprotl1,l
lonrf1,l
lrp2bp,l
lpl,l
lzts1,l
lpar2,l
lrrc25,l
lsm4,l
large1,l
lsm6,l
lyl1,l
lonp2,l
lpcat2,l
lrrc36,l
lcat,l
ldhd,l
lrrc3b,l
lrmda,l
lrrc18,l
ldb3,l
lgals3,l
lrp10,l
ltb4r2,l
ltb4r1,l
lats2,l
loxl2,l
lpar6,l
lrch1,l
lrrc63,l
lcp1,l
lacc1,l
lmo7,l
ldlr,l
layn,l
lingo1,l
lman1l,l
loxl1,l
lrrc49,l
larp6,l
lactb,l
lipc,l
leo1,l
lysmd2,l
lrrc1,l
lca5,l
lsmem2,l
lamb2,l
lrrc2,l
ltf,l
lrrfip2,l
lyzl4,l
lars2,l
limd1,l
lztfl1,l
limk2,l
lif,l
lgalsl,l
lcp2,l
lsm11,l
ltc4s,l
lyrm7,l
larp1,l
lypd8,l
llgl1,l
lrrc75a,l
lyrm9,l
lgals9,l
lig3,l
lhx1,l
lpo,l
luc7l3,l
lrrc59,l
lrrc46,l
lasp1,l
lsm12,l
limd2,l
llgl2,l
lgals3bp,l
lrrc45,l
larp4b,l
lgals8,l
lyst,l
lyrm4,l
ly86,l
lman2,l
lpcat1,l
lrrc14b,l
lysmd3,l
lhfpl2,l
ldah,l
laptm4a,l
lpin1,l
lamb1,l
lsmem1,l
lrrn3,l
lrr1,l
l2hgdh,l
l3hypdh,l
lrrc9,l
lin52,l
ltbp2,l
lgmn,l
lbhd2,l
lifr,l
lmbrd2,l
laptm4b,l
lrp12,l
lypd2,l
lynx1,l
ly6d,l
ly6k,l
ly6e,l
ly6i,l
ly6a,l
ly6c1,l
ly6c2,l
ly6g,l
ly6h,l
lrrc14,l
lrrc24,l
lgals2,l
lgals1,l
l3mbtl2,l
lmf2,l
lrrk2,l
lalba,l
lmbr1l,l
lima1,l
larp4,l
letmd1,l
litaf,l
lztr1,l
lamp3,l
liph,l
lpp,l
lsg1,l
lrch3,l
lmln,l
lrrc58,l
lsamp,l
ltn1,l
lca5l,l
lix1,l
lnpep,l
lmf1,l
luc7l,l
lemd2,l
lsm2,l
ly6g6c,l
ly6g6d,l
ly6g6e,l
ly6g5b,l
lst1,l
ltb,l
lta,l
lrrc73,l
lrfn2,l
lrg1,l
lonp1,l
l3mbtl4,l
lpin2,l
lbh,l
lclat1,l
ltbp1,l
lrpprc,l
lama3,l
lims2,l
lrrtm2,l
lars,l
lox,l
lmnb1,l
lman1,l
ldlrad4,l
lipg,l
lrp5,l
lrfn4,l
ltbp3,l
lgals12,l
lrrn4cl,l
lbhd1,l
lrrc10b,l
lpxn,l
lipo3,l
lipa,l
lgi1,l
lcor,l
loxl4,l
lzts2,l
lbx1,l
ldb1,l
hs6st1,h
hibch,h
hecw2,h
hspd1,h
hspe1,h
htr2b,h
hjurp,h
hes6,h
hdac4,h
hdlbp,h
hmcn1,h
hsd17b7,h
hnrnpu,h
h3f3a,h
hlx,h
hhat,h
hsd11b1,h
hspa14,h
hacd1,h
hnmt,h
hmcn2,h
hspa5,h
hc,h
hat1,h
hoxd10,h
hoxd9,h
hoxd8,h
hoxd3,h
hoxd4,h
hoxd1,h
hnrnpa3,h
harbi1,h
hsd17b12,h
hipk3,h
haus2,h
hypk,h
hdc,h
hspa12b,h
h13,h
hck,h
helz2,h
hdac6,h
h2al1m,h
hs6st2,h
hprt,h
htatsf1,h
hmgb3,h
haus7,h
hcfc1,h
heph,h
hdac8,h
hmgn5,h
hdx,h
hnrnph2,h
huwe1,h
hsd17b10,h
hccs,h
hey1,h
hps3,h
hltf,h
hspa4l,h
hdgf,h
hcn3,h
hax1,h
hormad1,h
hmgcs2,h
hipk1,h
henmt1,h
hadh,h
hs2st1,h
hint2,h
hrct1,h
hemgn,h
hsdl2,h
hdhd3,h
haus6,h
hacd4,h
hook1,h
hspb11,h
hpdl,h
hectd3,h
hivep3,h
hpcal4,h
heyl,h
hpca,h
hdac1,h
hmgn2,h
hmgcl,h
hnrnpr,h
hspg2,h
hp1bp3,h
hspb7,h
h6pd,h
hes5,h
hgf,h
hadha,h
hadhb,h
haus3,h
htt,h
hgfac,h
htra3,h
hs3st1,h
hopx,h
hnrnpd,h
hnrnpdl,h
hpse,h
helq,h
hsd17b13,h
hsd17b11,h
hfm1,h
hscb,h
hps4,h
hnf1a,h
hspb8,h
hectd4,h
hvcn1,h
hcar2,h
hcar1,h
hip1r,h
hip1,h
hspb1,h
hmgb1,h
hsph1,h
hepacam2,h
hilpda,h
hipk2,h
hnrnpa2b1,h
hoxa1,h
hoxa2,h
hoxa3,h
hoxa4,h
hoxa5,h
hoxa6,h
hoxa7,h
hoxa9,h
hoxa10,h
hibadh,h
herc6,h
herc3,h
hpgds,h
hk2,h
htra2,h
hmces,h
hdac11,h
hrh1,h
hnrnpf,h
hdhd5,h
hebp1,h
hspbp1,h
hif3a,h
hnrnpul1,h
hipk4,h
hnrnpl,h
hcst,h
hspb6,h
haus5,h
hamp2,h
hamp,h
hpn,h
hrc,h
hsd17b14,h
hps5,h
htatip2,h
herc2,h
hapln3,h
hddc3,h
homer2,h
hdgfl3,h
hikeshi,h
hbb-bt,h
hbb-bs,h
hpx,h
hirip3,h
hsd3b7,h
htra1,h
hmx2,h
hras,h
hivep2,h
heca,h
hebp2,h
hbs1l,h
h60b,h
hint3,h
hey2,h
hddc2,h
hs3st5,h
hdac2,h
hace1,h
hsf2,h
hk1,h
hnrnph3,h
herc4,h
hcn2,h
hmg20b,h
hcfc2,h
hsp90b1,h
hal,h
helb,h
hmga2,h
htra4,h
hgsnat,h
hook3,h
hpgd,h
hand2,h
hmgb2,h
hpf1,h
hapln4,h
homer3,h
haus8,h
hsh2d,h
hmgxb4,h
hmox1,h
hhip,h
hook2,h
heatr3,h
herpud1,h
hsf4,h
hsd11b2,h
has3,h
hp,h
hsbp1,h
hsdl1,h
hesx1,h
hacl1,h
hnrnpc,h
haus4,h
homez,h
hmbox1,h
hr,h
htr2a,h
herpud2,h
hyls1,h
hspa8,h
hinfp,h
hmbs,h
hyou1,h
hspb2,h
hykk,h
hmg20a,h
hexa,h
hacd3,h
herc1,h
hmgcll1,h
hcrtr2,h
htr1b,h
hmgn3,h
hemk1,h
hyal2,h
hyal1,h
hyal3,h
higd1a,h
hormad2,h
hus1,h
hba-a1,h
hba-a2,h
hmmr,h
havcr2,h
havcr1,h
hnrnph1,h
hnrnpab,h
hspa4,h
hint1,h
hs3st3b1,h
hs3st3a1,h
hes7,h
haspin,h
hic1,h
heatr9,h
heatr6,h
hnf1b,h
hsf5,h
hlf,h
hoxb9,h
hoxb8,h
hoxb7,h
hoxb6,h
hoxb5,h
hoxb4,h
hoxb3,h
hoxb2,h
hap1,h
hspb9,h
hsd17b1,h
hdac5,h
higd1b,h
hexim1,h
hexim2,h
helz,h
hid1,h
h3f3b,h
hgs,h
hmga1b,h
hexdc,h
heatr1,h
hfe,h
hus1b,h
hivep1,h
hrh2,h
higd2a,h
hk3,h
hnrnpa0,h
hnrnpk,h
habp4,h
hapln1,h
homer1,h
hmgcr,h
hexb,h
hcn1,h
hmgcs1,h
hs1bp3,h
hpcal1,h
hbp1,h
hdac9,h
hectd1,h
heatr5a,h
hif1a,h
hspa2,h
hhipl1,h
hsp90aa1,h
has2,h
hgh1,h
hsf1,h
h1f0,h
hdac10,h
hdac7,h
hoxc11,h
