,table
mrps31,m
mak16,m
mfhas1,m
msr1,m
micu3,m
mtmr7,m
mtus1,m
mfap3l,m
msmo1,m
mau2,m
mef2b,m
mpv17l2,m
mast3,m
map1s,m
myo9b,m
mrpl34,m
mvb12a,m
med26,m
mcm5,m
mmaa,m
mri1,m
mast1,m
man2b1,m
mmp2,m
mt3,m
mt2,m
mt1,m
mmp15,m
marveld3,m
mlkl,m
mon1b,m
maf,m
mphosph6,m
mlycd,m
mbtps1,m
mthfsd,m
map1lc3b,m
mvd,m
mc1r,m
map10,m
map3k21,m
mrps16,m
mss51,m
mustn1,m
mettl6,m
mapk8,m
mmrn2,m
mapk1ip1l,m
mettl17,m
mettl3,m
mrpl52,m
mmp14,m
myh7,m
mdp1,m
mcpt2,m
mcpt4,m
mcpt8,m
mphosph8,m
mrpl57,m
micu2,m
mtmr6,m
mipep,m
mtmr9,m
msra,m
med4,m
mtrf1,m
mzt1,m
mycbp2,m
mbnl2,m
msantd4,m
mmp13,m
mmp12,m
mmp3,m
mmp10,m
mmp8,m
mmp27,m
mmp20,m
mmp7,m
maml2,m
mtmr2,m
mre11a,m
med17,m
mrpl4,m
msantd2,m
mfrp,m
mcam,m
mpzl2,m
mpzl3,m
man2c1,m
mpi,m
myo9a,m
map2k5,m
map2k1,m
megf11,m
mtfmt,m
myo1e,m
mindy2,m
myzap,m
mns1,m
myo5a,m
myo5c,m
mapk6,m
mto1,m
myo6,m
mei4,m
me1,m
mthfsl,m
mthfs,m
morf4l1,m
mrps22,m
mras,m
msl2,m
mrpl3,m
manf,m
mapkapk3,m
mon1a,m
mst1r,m
mst1,m
map4,m
myl3,m
mlh1,m
myd88,m
myrip,m
morc2a,m
mtfp1,m
mtmr3,m
mrps24,m
myl7,m
myo1g,m
meis1,m
mdh1,m
mtif2,m
mpg,m
mat2b,m
med7,m
mgat1,m
mapk9,m
mrnip,m
mgat4b,m
maml1,m
mfap3,m
mrpl22,m
mrpl55,m
mprip,m
med9,m
mief2,m
map2k3,m
mfap4,m
mapk7,m
mmgt2,m
myocd,m
map2k4,m
myh13,m
mfsd6l,m
myh10,m
mpdu1,m
mgl2,m
med11,m
mink1,m
mis12,m
med31,m
mybbp1a,m
mettl16,m
mnt,m
myo1c,m
