,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Nfat5,0.9365238285943132,0.06347617140568684,2.6915102369869706,0.00041304645,0.00015350018,0.0,0.25,1.7110484,1.6227641,1.1411644,-1.5730925,6.56649,1.4829501,1.923617,0.5980931426475887,0.6564552406658986,4.477003,1.6337011,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Camta1,0.9505406487785343,0.04945935122146572,2.9558795902574557,0.000120824305,4.3439453e-05,0.0,0.25,1.6961303,1.6428614,1.013311,-1.425457,5.832264,0.48368403,0.58779705,0.29519618628529276,0.34008097165996953,1.384365,0.43189618,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Runx1,0.9231077292751302,0.07689227072486982,2.4853404641838646,0.0002789136,0.00013350097,0.0,0.25,1.6921052,1.754046,1.6268872,-3.7860394,6.2357025,1.006972,1.0713477,0.46241290795744794,0.3590193432299249,3.0601974,1.0821306,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Esr1,0.9231077292751302,0.07689227072486982,2.4853404641838646,2.2195814e-05,9.0906815e-06,0.0,0.25,1.6870272,1.6183524,1.515974,-3.230257,8.927788,0.09424266,0.06810587,0.06490649064906508,0.042060278902383896,0.23371488,0.05048215,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Erf,0.9411293552262715,0.0588706447737285,2.7717378611210686,3.91375e-05,1.4440632e-05,0.0,0.25,1.6847495,1.7160645,1.134389,-2.6075516,5.6229353,0.12577908,0.14390652,0.10304363769710335,0.11524966261807958,0.33368084,0.11447843,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp651,0.9413295955146176,0.05867040448538241,2.775357762186664,3.4551205e-05,1.2613071e-05,0.0,0.25,1.6835171,1.673006,1.0631357,-1.9727535,5.1089125,0.11587808,0.072784215,0.1059772643931063,0.06347278452541472,0.42440695,0.061773602,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Mef2a,0.959951942330797,0.04004805766920305,3.176802809163512,0.00026900505,9.481659e-05,0.0,0.25,1.6814039,1.6509352,0.92302454,-1.4569521,6.168647,0.97946984,1.3147168,0.4910157682434745,0.5819613135403734,2.879017,1.0178164,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Pbx1,0.9573488185822988,0.04265118141770119,3.1111126189021268,0.00070523465,0.00025321,0.0,0.25,1.6699259,1.6623201,0.93215156,-1.3358068,4.95702,2.7895055,3.3865519,0.6740007334066707,0.7306342780028496,6.8577156,2.6009042,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Rest,0.9573488185822988,0.04265118141770119,3.1111126189021268,0.00011902014,4.1782034e-05,0.0,0.25,1.6672758,1.6334863,0.9519577,-1.2231712,4.78734,0.4261119,0.41735387,0.29336266960029106,0.2654520917679126,1.4422488,0.34527603,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Tead2,0.9255106127352823,0.07448938726471765,2.5196888131187234,3.2328127e-05,1.2627075e-05,0.0,0.25,1.6587076,1.6306691,1.4678222,-3.222313,7.9496937,0.07774101,0.06986031,0.06747341400806765,0.0493027440395855,0.25054312,0.054693054,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp280c,0.9519423307969563,0.04805766920304366,2.986102526999674,2.4858788e-05,9.626907e-06,0.0,0.25,1.6561935,1.5539141,1.0042148,-1.0576181,6.474491,0.07664091,0.10314964,0.06674000733406692,0.08560503823661464,0.21598959,0.07860142,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Sox4,0.9325190228273929,0.06748097717260715,2.626043675163757,0.0013168494,0.00050132483,0.0,0.25,1.6410159,1.6042132,1.1380416,-1.9096317,6.031911,4.2298937,4.845401,0.8467180051338571,0.7490778227621886,14.161997,3.9023767,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Snapc4,0.934321185422507,0.06567881457749303,2.655043702644103,1.9722955e-05,7.1764503e-06,0.0,0.25,1.6383162,1.5909634,1.0553757,-1.4217882,5.7139244,0.059405867,0.071119726,0.05610561056105624,0.06545209176787975,0.22203703,0.066010125,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zhx2,0.9497396876251502,0.05026031237484985,2.9389719983108744,7.942786e-05,2.9685656e-05,0.0,0.25,1.6342466,1.5965924,0.9748008,-1.4589062,5.14038,0.30729797,0.3363822,0.20315364869820382,0.22055780476835096,0.76688105,0.267869,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Scmh1,0.9493392070484582,0.0506607929515418,2.930613687316957,0.00010306368,3.7374983e-05,0.0,0.25,1.6317523,1.6527042,1.0161923,-2.5735722,5.487912,0.37477183,0.35419372,0.22112211221122186,0.20958164642376875,0.99989057,0.30142835,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Arid5a,0.933520224269123,0.06647977573087704,2.6420647109696795,0.000108724,3.829366e-05,0.0,0.25,1.6247008,1.5512648,1.1869053,-2.3823414,6.646371,0.31536502,0.40588358,0.1826182618261832,0.26558704453444437,0.7578924,0.32232636,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp821,0.959951942330797,0.04004805766920305,3.176802809163512,7.348345e-05,2.5896737e-05,0.0,0.25,1.6245738,1.5550852,0.93009216,-1.110692,5.645219,0.1855516,0.17836645,0.1573157315731578,0.14772829509671737,0.6420844,0.15231702,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Tead3,0.9381257509010813,0.0618742490989187,2.718779766816219,6.99918e-05,2.6136157e-05,0.0,0.25,1.619006,1.6287551,1.0334287,-1.7529001,5.3490915,0.21525452,0.23154028,0.18811881188118873,0.18443544759335295,0.7958963,0.20158845,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp703,0.907689227072487,0.092310772927513,2.2857411106314753,0.0002468331,0.00010525013,0.0,0.25,1.6162273,1.5091295,1.3090423,-3.7160654,5.7709684,0.8302201,1.0288353,0.45874587458744454,0.4216824111561668,2.7196,0.8223289,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Bcl11a,0.9393271926311574,0.06067280736884262,2.7396680986465385,0.00011176179,4.1924188e-05,0.0,0.25,1.5936453,1.600297,1.0766063,-2.701664,5.275342,0.3421351,0.27930906,0.24055738907224136,0.17008547008547703,1.1083641,0.2272589,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp282,0.9449339207048458,0.05506607929515417,2.8425809230425836,6.575519e-05,2.4595938e-05,0.0,0.25,1.5909446,1.6081977,0.95098436,-1.6387825,5.7251873,0.23395635,0.25502163,0.19508617528419572,0.19941520467837703,0.80431765,0.21196017,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
