,table
zbtb25,z
zbtb1,z
zfyve26,z
zfp36l1,z
zfyve1,z
zfp410,z
zc2hc1c,z
zdhhc22,z
zc3h14,z
zfp839,z
zfyve21,z
zbtb42,z
zfp386,z
zmynd11,z
zscan12,z
zkscan3,z
zscan26,z
zkscan4,z
zkscan8,z
zfp184,z
zfp322a,z
zfp169,z
zfp346,z
zfp808,z
zfp934,z
zfp367,z
zfp369,z
zfp712,z
zfp708,z
zfp759,z
zfp455,z
zfp458,z
zfp457,z
zfp595,z
zfp456,z
zfp429,z
zfp459,z
zfp874a,z
zfp874b,z
zfp58,z
zfp87,z
zfp748,z
zfp729b,z
zfp729a,z
zfp738,z
zfp65,z
zfp85,z
zfp493,z
zfp273,z
zdhhc11,z
zfp72,z
zfp825,z
zcchc9,z
zfyve16,z
zbed3,z
zfp366,z
zfp131,z
zswim8,z
zfp503,z
zmiz1os1,z
zmiz1,z
zcchc24,z
zfp488,z
zfp219,z
zfhx2os,z
zfhx2,z
zmym5,z
zmym2,z
zdhhc20,z
zfp395,z
zc3h13,z
zfp957,z
zic5,z
zic2,z
zfr,z
zfp622,z
zfp706,z
zfpm2,z
zhx2,z
zhx1,z
zfat,z
zfp41,z
zc3h3,z
zfp623,z
zfp707,z
zfp251,z
zfp7,z
zfp647,z
zc3h7b,z
zbed4,z
zcrb1,z
zfp641,z
zfp740,z
zfp385a,z
zfp263,z
zfp174,z
zfp597,z
zc3h7a,z
zdhhc8,z
zdhhc19,z
zfp148,z
zbtb20,z
zdhhc23,z
zpld1,z
zbtb11os1,z
zbtb11,z
zfp654,z
zbtb21,z
zdhhc14,z
zfp960,z
zfp97,z
zfp160,z
zfp677,z
zfp54,z
zfp51,z
zfp53,z
zfp52,z
zfp948,z
zfp983,z
zfp760,z
zfp229,z
zfp820,z
zfp995,z
zfp942,z
zfp943,z
zfp947,z
zfp994,z
zfp944,z
zfp758,z
zfp946,z
zfp945,z
zfp40,z
zfp213,z
zfp13,z
zscan10,z
zfp598,z
zbtb9,z
zfp523,z
zfand3,z
zfp871,z
zfp811,z
zfp799,z
zfp870,z
zfp472,z
zfp952,z
zfp763,z
zfp563,z
zfp955a,z
zfp955b,z
zfp81,z
zfp101,z
zfp414,z
zbtb22,z
zbtb12,z
znrd1,z
znrd1as,z
zfp57,z
zfp318,z
zfp119a,z
zfp959,z
zfp119b,z
znrf4,z
zbtb14,z
zfp36l2,z
zfp438,z
zeb1,z
zfp521,z
zfp397,z
zfp35,z
zfp24,z
zmat2,z
zfp474,z
zfp608,z
zfp532,z
zbtb7c,z
zfp236,z
zfp516,z
zadh2,z
zfp407,z
zdhhc24,z
znhit2,z
zfpl1,z
zbtb3,z
zp1,z
zfp91,z
zfand5,z
zfp518a,z
zdhhc16,z
zfyve27,z
zdhhc6,z
zfp950,z
